"pathway","gene","lfc_F","padj_F","lfc_M","padj_M","sig","lab","x_plot"
"UPR (IRE1/XBP1s)","Hsc70-2",0.206130274820976,0.955097484701412,-0.109766870983219,0.691499592287225,"Not significant",NA,3.9762618970871
"UPR (IRE1/XBP1s)","Hsc70-4",0.206443956429513,0.99417184827796,-0.815478409072296,0.411965469353329,"Not significant","Hsc70-4",3.90735711283982
"UPR (IRE1/XBP1s)","Hsp68",-0.22587448168056,0.849735416444054,-0.201252493402736,0.44990331456974,"Not significant",NA,3.99270403467119
"UPR (IRE1/XBP1s)","l(1)G0320",-0.703681010547789,0.00121154162731128,-0.278026239382596,0.316882707362551,"Down in CS","l(1)G0320",4.08154344797134
"UPR (IRE1/XBP1s)","mbl",0.330060461842221,0.981947296700208,-0.00267363085200973,0.998984108941467,"Not significant",NA,3.9829853695631
"UPR (IRE1/XBP1s)","Srp19",-0.243110982361711,0.835401775497754,-0.352397603304882,0.217099626517489,"Not significant",NA,3.95878457665443
"UPR (IRE1/XBP1s)","Stt3B",0.0465766641806586,0.99515271483221,-0.409369772702274,0.0192256612084937,"Not significant",NA,4.1199290894717
"HSR","Gp93",-0.207838517140249,0.65715737568804,-0.500192908622532,0.00152897905574491,"Not significant",NA,4.97907113835216
"HSR","Hsc70-4",0.206443956429513,0.99417184827796,-0.815478409072296,0.411965469353329,"Not significant","Hsc70-4",4.98084376849234
"HSR","Hsp60A",-0.468774974525477,0.986976325248193,-0.00654911389293445,0.997502074822183,"Not significant","Hsp60A",4.86622618667781
"HSR","Hsp60B",8.2382778808735,NA,0.121163368858723,0.693439008023098,"Not tested",NA,4.85107817709446
"HSR","Hsp67Ba",-0.33865119419437,0.994004272027674,1.22472215365894,0.290642209923673,"Not significant",NA,5.13716863416135
"HSR","Hsp67Bc",0.295517658949403,0.899233913516213,0.890657469766334,0.000139897978176637,"Not significant",NA,4.93426121510565
"HSR","Hsp70Bc",0.206830653319746,0.987294280484508,1.2845052216491,0.000915811741360383,"Not significant",NA,5.00615177199245
"HSR","Hsp83",1.89982309521075,NA,0.38436983555238,0.545829381057595,"Not tested","Hsp83",4.91564685598016
"HSR","Spn77Bb",0.601385525518419,NA,0.581910427195637,0.703152202665384,"Not tested",NA,5.15097913876176
"OSR","Gclc",-0.152939817675994,0.995422089238374,-0.0792982291371514,0.958723527565818,"Not significant","Gclc",6.04240368038416
"OSR","Gclm",0.318303325947058,0.982021324378881,0.47981393953121,0.783078217395969,"Not significant","Gclm",6.14664613306522
"OSR","Men",0.316662382939388,0.931702110497687,-0.832033706422695,0.754686122916607,"Not significant",NA,6.1236332732439
"OSR","Men-b",0.355427287719307,0.516696616731352,-0.286462654148673,0.353156468872927,"Not significant",NA,6.00741880439222
"OSR","Prx1",5.99293999075243,0.229849283118254,0.594152078936288,0.00226948819440912,"Not significant",NA,6.06909300297499
"OSR","Prx2",-0.231876035825267,0.993668458911996,0.177074797751786,0.895902152292237,"Not significant",NA,6.077005674541
"OSR","Prx3",-0.173819502301817,0.871232856025859,-0.356543824771059,0.142092612280935,"Not significant",NA,5.85468682363629
"OSR","Sod1",-0.214107118061803,0.711346538138395,-0.610800925820472,0.000402217325178464,"Not significant","Sod1",6.14649373240769
"OSR","Sod3",0.123924110650071,0.992945267671872,-1.43997216758314,2.12276457470056e-05,"Not significant",NA,5.90436373859644
"OSR","Tob",-0.100432493034997,0.987380724810227,-0.299383349302915,0.246888661941448,"Not significant",NA,5.93549254342914
"OSR","Trx2",-0.543786113026861,0.804485195082114,-0.405417845952013,0.605404907204496,"Not significant",NA,6.12658325381577
"OSR","Trxr1",-0.461793456859489,0.536037322373763,0.158668203528479,0.806666306124941,"Not significant",NA,6.02114424705505
"OSR","Trxr2",4.81362140143347,NA,0.15107190231963,0.702980969594012,"Not tested",NA,5.98576255507767
