area_threshold_um2,file,condition,objects_n,zero_tmrm_objects_n,image_mean_object_ratio,image_median_object_ratio,image_ratio_of_integrated_sums,WT_reference_image_mean_ratio,image_mean_percent_of_WT,image_median_percent_of_WT,integrated_ratio_percent_of_WT
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series036.tif,CS,3405,403,0.6781035206753995,0.5345744680851063,1.6971744598158631,0.6901124288698677,98.25986206129717,77.4619389134215,245.92724153587065
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series036.tif,CS,2327,57,0.7995661190694076,0.6825396825396826,1.7110824962326134,0.757252642966766,105.58776208913127,90.13368112729553,225.9592636783585
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series038.tif,CS,286,0,0.5553149756799558,0.4914023545706371,1.4795130301118722,0.6166581899211537,90.05231500305845,79.6879637053824,239.9243299275801
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series038.tif,CS,136,0,0.7060921054810242,0.5925302109832074,1.4927267995128637,0.6901124288698677,102.31551786964988,85.85995356633968,216.30197299262704
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series038.tif,CS,80,0,0.8630061338035888,0.7456928799259147,1.5022630634366174,0.757252642966766,113.9654171984797,98.47346019215432,198.38333710544055
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series040.tif,CS,104,0,0.7154507336435921,0.6674386450770523,1.3688219292739068,0.6166581899211537,116.02063271633027,108.23478159957487,221.97417493943038
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series040.tif,CS,56,0,0.8796582464411902,0.7762027321083125,1.3785007908321152,0.6901124288698677,127.46593303379912,112.47482288928295,199.75017593721017
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series040.tif,CS,40,0,0.9889007951211759,0.893153419386468,1.384900294882772,0.757252642966766,130.59060332187923,117.94655689642359,182.88484137302007
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series042.tif,CS,111,0,0.5965549903943044,0.5305164319248826,1.3421799775362069,0.6166581899211537,96.73997688583043,86.03087425024141,217.6537990532192
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series042.tif,CS,59,0,0.7234697939761905,0.6695383898946388,1.3519422445953526,0.6901124288698677,104.83361314922976,97.01874098849066,195.90173833114432
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series042.tif,CS,44,0,0.7922391924408031,0.693361880102836,1.356985456222027,0.757252642966766,104.62019509591498,91.562820749807,179.1985104080491
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series044.tif,CS,115,0,0.2973314102631837,0.21292217327459617,0.850765515369902,0.6166581899211537,48.21656715549349,34.52839462033587,137.9638719269554
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series044.tif,CS,73,0,0.3800076541799521,0.2935613421427646,0.8614035095553375,0.6901124288698677,55.064600821963886,42.53819086022004,124.82074999952937
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series044.tif,CS,59,0,0.42838186258680877,0.3370987207337678,0.8683875618786477,0.757252642966766,56.57053383247279,44.516017720728144,114.67606880531669
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series048.tif,CS,588,0,2.427230516175378,2.5240101200194425,3.438738034997685,0.6166581899211537,393.61035916602765,409.3045647122864,557.6408602369108
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series048.tif,CS,461,0,2.6293213103951185,2.7817460317460316,3.441566271760072,0.6901124288698677,380.9989793548438,403.08591982634425,498.69646274825135
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series048.tif,CS,384,0,2.838068412675526,3.0476609085182087,3.445663681379607,0.757252642966766,374.78488045370636,402.4628948904128,455.0216778221042
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series054.tif,CS,2544,440,0.9493576795293136,0.6272065004202858,2.0034333284206673,0.6166581899211537,153.95201021342132,101.71056035118593,324.88554618512853
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series054.tif,CS,1821,128,0.9556537150589789,0.7407407407407407,2.005615001247957,0.6901124288698677,138.47797475897704,107.33624113302555,290.6214867818515
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series054.tif,CS,1248,19,1.117065449709436,0.9515346069527091,2.010825247851926,0.757252642966766,147.51555641100106,125.65616188869078,265.54218945660074
