module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
DNA replication,Mcm6,122.634567285507,0.213819235579263,0.249246177614887,0.857863649606844,0.390967758381744,0.943246460718841,Not significant
DNA replication,Cdc6,40.0430395677709,0.189313973113576,0.382154232329408,0.495386305051809,0.620327459892011,0.986976325248193,Not significant
DNA replication,Mcm2,110.97979283758,0.160438023371415,0.309737572925274,0.517980501545809,0.604471873643882,0.986976325248193,Not significant
DNA replication,PolE1,77.6206816765049,0.114185666777657,0.340594525768717,0.335253969569656,0.737433513387052,0.99417184827796,Not significant
DNA replication,DNAlig4,95.7257972565937,0.107859394587386,0.255759396836212,0.421722118215892,0.673227858171741,0.992945267671872,Not significant
DNA replication,Prim2,34.8042538649195,0.0914664338495171,0.476955213805314,0.191771535779568,0.847921168264719,0.99686926944711,Not significant
DNA replication,Mcm5,112.714266553412,0.0103033764923882,0.334368054817382,0.0308144762752992,0.975417495504494,0.99773756738846,Not significant
DNA replication,RfC4,139.026327503176,-0.0103507871740871,0.217768940319734,-0.0475310535969447,0.962089981105918,0.997114164749545,Not significant
DNA replication,Orc4,56.2712347103285,-0.0257771511889062,0.353413524316079,-0.0729376478695595,0.941855735045378,0.997029291296654,Not significant
DNA replication,PolD1,111.639663523917,-0.0486446634175068,0.257964137231198,-0.188571419033761,0.850428735195879,0.99686926944711,Not significant
DNA replication,RnrL,238.625766022611,-0.0650372088309907,0.224351767966846,-0.289889442015013,0.771900819038304,0.995422089238374,Not significant
DNA replication,Orc1,29.6679072891108,-0.0649017217222435,0.533546635029059,-0.121642078613632,0.903182487004705,0.997029291296654,Not significant
DNA replication,RPA1,548.90757561938,-0.0958906218788434,0.14343514645853,-0.668529466078716,0.503795679356284,0.981947296700208,Not significant
DNA replication,Mcm7,22.1712900411887,-0.11412031457924,0.60403052252506,-0.188931370723084,0.850146606051828,0.99686926944711,Not significant
DNA replication,Orc5,32.9502712185815,-0.135288412877265,0.411193259693632,-0.329014179313309,0.742144970619591,0.995042780244501,Not significant
DNA replication,PolA1,108.007523136881,-0.172865248242131,0.340503806484297,-0.507674936227484,0.611681328383098,0.986976325248193,Not significant
DNA replication,RnrS,296.833872726896,-0.199928380146058,0.205385696796397,-0.973428935240075,0.330340163767192,0.91912099243809,Not significant
DNA replication,Orc6,13.9160331648415,-0.20214760608673,0.689895377690323,-0.293011973443703,0.769512999681863,0.99515271483221,Not significant
DNA replication,RfC3,40.1009562528597,-0.214579777674829,0.444734556872128,-0.482489553283187,0.629458217793245,0.986976325248193,Not significant
DNA replication,Mcm10,30.1978409056486,-0.361587636496695,0.544473883742637,-0.664104647244404,0.506623335978598,0.981947296700208,Not significant
DNA replication,Orc2,24.8199839269831,-0.392622071765697,0.577483333285102,-0.679884680882834,0.496577482199233,0.981366694783537,Not significant
DNA replication,Prim1,51.7888739924084,-0.531749445038142,0.359203169531783,-1.48035844375001,0.138777613935916,0.674527959260882,Not significant
DNA replication,PolA2,33.4210135720123,-0.549914468480818,0.4216308994814,-1.3042556158887,0.192146442909421,0.786643450369876,Not significant
Spargel,COX4,34.0248204243862,0.110054617811779,0.55267159734339,0.199132031283668,0.842159465610142,0.99686926944711,Not significant
Spargel,ERR,61.5148550114339,-0.0433404257080577,0.371627466771496,-0.116623311200802,0.907158564110906,0.997029291296654,Not significant
Spargel,Scox,861.920291794672,-0.0483980800659627,0.138275627579805,-0.350011646398277,0.726329957269516,0.993770176584022,Not significant
Spargel,mtTFB2,138.64006568494,-0.115424283332868,0.232116218276061,-0.497269360108181,0.618999115478167,0.986976325248193,Not significant
Spargel,ATPsynbeta,344.360340227716,-0.142893805228033,0.205664027249747,-0.69479241041269,0.487185405187632,0.980950988535372,Not significant
Spargel,mRpL4,518.735179156682,-0.436492537859867,0.224960260519086,-1.94030953223774,0.0523420836163306,0.44550522310886,Not significant
Spargel,srl,19.3628805180271,-0.699926196739216,0.641839634706435,-1.09050011699472,0.275492901805729,0.878884474707196,Not significant
AMPK,Sesn,18.3803408344283,0.135302824013738,0.594207860074658,0.227702851316604,0.819877255636361,0.99686926944711,Not significant
AMPK,FASN3,330.182329766277,0.0857152393770538,0.250984684589417,0.341515816063735,0.732715300314788,0.99417184827796,Not significant
AMPK,Sirt1,566.22497397134,-0.0384671113884439,0.145297714415679,-0.264746844388716,0.791204488041315,0.995422089238374,Not significant
AMPK,Atg1,214.640455728683,-0.0509857756289528,0.249326770151893,-0.204493787802616,0.837967646045869,0.99686926944711,Not significant
AMPK,bmm,9.17574001125166,-0.0560663210166242,0.899072812535546,-0.0623601561908064,0.950276023928612,0.997029291296654,Not significant
AMPK,Atg13,1730.6030370613,-0.0608870560805607,0.438985851875212,-0.138699358579485,0.889687724980341,0.99686926944711,Not significant
AMPK,Atg8a,1084.02343688805,-0.0978500482060776,0.179519046548487,-0.545067780201524,0.585706901425795,0.985837710662917,Not significant
AMPK,ACC,27.1910724540328,-0.147792125552419,0.501618527502906,-0.294630515918419,0.768276148076344,0.99515271483221,Not significant
AMPK,SNF4Agamma,284.458773526672,-0.246505774840913,0.21987397134132,-1.1211230385167,0.262235493315963,0.867833039575598,Not significant
AMPK,alc,225.455505852973,-0.249298892457399,0.194421102993808,-1.28226251481219,0.199750572845975,0.798736665859236,Not significant
AMPK,FASN2,27.1917133190457,-0.320115934050942,0.521743959100711,-0.613549861895288,0.539512823938351,0.981947296700208,Not significant
AMPK,S6k,420.141120123541,-0.64284633446694,0.257708757036854,-2.49446833649897,0.0126145980593078,0.201200210691208,Not significant
Chromatin,mor,12.6803337913038,0.53982870893723,0.738446695543051,0.73103273695367,0.464759157168241,0.976270910491313,Not significant
