term,ENTREZID
dme00230,42051
dme00230,41476
dme00230,32228
dme00230,39854
dme00230,41825
dme00230,32233
dme00230,8674026
dme00230,40153
dme00230,34594
dme00230,37741
dme00230,36968
dme00230,44010
dme00230,41373
dme00230,32396
dme00230,34392
dme00230,42273
dme00230,38284
dme00230,34689
dme00230,39976
dme00230,39975
dme00230,41896
dme00230,32816
dme00230,41318
dme00230,39132
dme00230,34060
dme00230,41605
dme00230,40180
dme00230,35923
dme00230,41760
dme00230,41174
dme00230,40167
dme00230,36379
dme00230,33718
dme00230,36280
dme00230,33847
dme00230,32485
dme00230,45830
dme00230,34196
dme00230,41680
dme00230,32406
dme00230,41679
dme00232,41897
dme00232,41895
dme00232,41894
dme00232,41896
dme00232,34060
dme00232,41605
dme00240,36121
dme00240,40675
dme00240,43661
dme00240,33510
dme00240,32640
dme00240,31858
dme00240,43739
dme00240,33233
dme00240,36969
dme00240,246458
dme00240,40916
dme00240,33495
dme00240,318908
dme00240,33499
dme00240,32822
dme00240,37875
dme00240,42493
dme00240,37644
dme00240,39645
dme00240,34529
dme00240,36953
dme00240,36968
dme00240,41373
dme00240,32396
dme00240,34392
dme00240,42273
dme00240,37062
dme00240,43165
dme00240,43240
dme00240,42894
dme00240,40222
dme00240,34124
dme00240,34123
dme00240,34122
dme00240,41174
dme00240,36280
dme00240,41022
dme00250,38753
dme00250,40492
dme00250,36128
dme00250,3354921
dme00250,40812
dme00250,43373
dme00250,38484
dme00250,32292
dme00250,42466
dme00250,32087
dme00250,32640
dme00250,33172
dme00250,40935
dme00250,2768965
dme00250,42051
dme00250,31587
dme00250,33373
dme00250,36396
dme00250,42756
dme00250,43092
dme00250,42832
dme00250,39556
dme00250,40434
dme00250,40188
dme00250,32488
dme00250,41121
dme00250,36782
dme00250,3771738
dme00250,39878
dme00260,42783
dme00260,39333
dme00260,33955
dme00260,40492
dme00260,46391
dme00260,40708
dme00260,42892
dme00260,43447
dme00260,33081
dme00260,46246
dme00260,31524
dme00260,37815
dme00260,39085
dme00260,31587
dme00260,41253
dme00260,37143
dme00260,40268
dme00260,41561
dme00260,34554
dme00260,37026
dme00260,34474
dme00260,42626
dme00260,39988
dme00260,40349
dme00260,41117
dme00260,40097
dme00260,33431
dme00270,45880
dme00270,35152
dme00270,35153
dme00270,39469
dme00270,39470
dme00270,32334
dme00270,40492
dme00270,43713
dme00270,32471
dme00270,46391
dme00270,40630
dme00270,41570
dme00270,36510
dme00270,32381
dme00270,32297
dme00270,33081
dme00270,53581
dme00270,48552
dme00270,318597
dme00270,326189
dme00270,33373
dme00270,39403
dme00270,36955
dme00270,248194
dme00270,34396
dme00270,37143
dme00270,34414
dme00270,37139
dme00270,41561
dme00270,34554
dme00270,32775
dme00270,41433
dme00270,42185
dme00270,41167
dme00270,36782
dme00270,42043
dme00270,38342
dme00280,33978
dme00280,31695
dme00280,40492
dme00280,38261
dme00280,38864
dme00280,37166
dme00280,32297
dme00280,3355069
dme00280,30995
dme00280,31668
dme00280,43750
dme00280,43244
dme00280,59261
dme00280,34256
dme00280,40059
dme00280,44154
dme00280,34276
dme00280,37784
dme00280,34313
dme00280,42364
dme00280,41480
dme00280,41869
dme00280,32441
dme00280,36536
dme00280,38979
dme00280,32789
dme00280,39988
dme00280,40188
dme00280,41149
dme00280,36392
dme00280,38147
dme00280,40097
dme00290,32297
dme00290,41117
dme00310,36481
dme00310,31695
dme00310,35309
dme00310,37962
dme00310,31015
dme00310,44554
dme00310,43689
dme00310,32301
dme00310,30971
dme00310,43244
dme00310,35118
dme00310,35135
dme00310,319025
dme00310,41743
dme00310,34256
dme00310,31149
dme00310,3354971
dme00310,40793
dme00310,42421
dme00310,41483
dme00310,34276
dme00310,41303
dme00310,43351
dme00310,41360
dme00310,32399
dme00310,39265
dme00310,39203
dme00310,36536
dme00310,34064
dme00310,39988
dme00310,41737
dme00310,40133
dme00310,38147
dme00310,33911
dme00310,40097
dme00330,33955
dme00330,43416
dme00330,42892
dme00330,33117
dme00330,43623
dme00330,43627
dme00330,50001
dme00330,35507
dme00330,46717
dme00330,40026
dme00330,36515
dme00330,3771984
dme00330,326111
dme00330,326112
dme00330,43640
dme00330,326113
dme00330,326114
dme00330,43638
dme00330,43620
dme00330,43244
dme00330,318781
dme00330,39041
dme00330,326188
dme00330,40028
dme00330,317911
dme00330,326209
dme00330,5740402
dme00330,34256
dme00330,40023
dme00330,33373
dme00330,39403
dme00330,36844
dme00330,41922
dme00330,36847
dme00330,34396
dme00330,39040
dme00330,42106
dme00330,42284
