"GO_ID","GO_term","GO_padj","collapsed_program","gene","direction","log2FoldChange","padj"
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","CG9360","Upregulated",1.33974175609357,1.12603627893606e-13
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","CG10962","Upregulated",1.18219170872228,4.70777463615036e-10
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","CG12224","Upregulated",1.54426226022315,2.98779096319116e-08
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","CG14893","Upregulated",2.3023744229898,5.29212429383357e-07
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","Cyp28a5","Upregulated",1.16089504601816,5.72373529965225e-07
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","Cyp6a8","Upregulated",0.693666110049444,0.010272363311272
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","CG32026","Upregulated",7.07080944052504,0.013177761557036
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","CG40485","Upregulated",1.80162119193626,0.0156945817248463
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","CG9521","Upregulated",0.909978557025997,0.0348243624292318
"GO:0016491","oxidoreductase activity",0.0144166107948239,"Redox / electron transfer","GstO1","Upregulated",0.739548636200136,0.0381387678868548
"GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0144166107948239,"Redox / electron transfer","CG9360","Upregulated",1.33974175609357,1.12603627893606e-13
"GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0144166107948239,"Redox / electron transfer","CG10962","Upregulated",1.18219170872228,4.70777463615036e-10
"GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0144166107948239,"Redox / electron transfer","CG40485","Upregulated",1.80162119193626,0.0156945817248463
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.0144166107948239,"Redox / electron transfer","CG9360","Upregulated",1.33974175609357,1.12603627893606e-13
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.0144166107948239,"Redox / electron transfer","CG10962","Upregulated",1.18219170872228,4.70777463615036e-10
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.0144166107948239,"Redox / electron transfer","CG12224","Upregulated",1.54426226022315,2.98779096319116e-08
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.0144166107948239,"Redox / electron transfer","CG32026","Upregulated",7.07080944052504,0.013177761557036
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.0144166107948239,"Redox / electron transfer","CG40485","Upregulated",1.80162119193626,0.0156945817248463
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",0.0144166107948239,"Redox / electron transfer","CG9521","Upregulated",0.909978557025997,0.0348243624292318
"GO:0016229","steroid dehydrogenase activity",0.015778332987986,"Redox / electron transfer","CG9360","Upregulated",1.33974175609357,1.12603627893606e-13
"GO:0016229","steroid dehydrogenase activity",0.015778332987986,"Redox / electron transfer","CG10962","Upregulated",1.18219170872228,4.70777463615036e-10
"GO:0016229","steroid dehydrogenase activity",0.015778332987986,"Redox / electron transfer","CG40485","Upregulated",1.80162119193626,0.0156945817248463
"GO:0016651","oxidoreductase activity, acting on NAD(P)H",0.0250185662092763,"Redox / electron transfer","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0016651","oxidoreductase activity, acting on NAD(P)H",0.0250185662092763,"Redox / electron transfer","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0016651","oxidoreductase activity, acting on NAD(P)H",0.0250185662092763,"Redox / electron transfer","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0289169769414149,"Redox / electron transfer","CG9360","Upregulated",1.33974175609357,1.12603627893606e-13
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0289169769414149,"Redox / electron transfer","CG10962","Upregulated",1.18219170872228,4.70777463615036e-10
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0289169769414149,"Redox / electron transfer","CG12224","Upregulated",1.54426226022315,2.98779096319116e-08
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0289169769414149,"Redox / electron transfer","CG32026","Upregulated",7.07080944052504,0.013177761557036
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0289169769414149,"Redox / electron transfer","CG40485","Upregulated",1.80162119193626,0.0156945817248463
"GO:0015453","oxidoreduction-driven active transmembrane transporter activity",0.0438672744632298,"Mitochondrial membrane / transport","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0015453","oxidoreduction-driven active transmembrane transporter activity",0.0438672744632298,"Mitochondrial membrane / transport","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0015453","oxidoreduction-driven active transmembrane transporter activity",0.0438672744632298,"Mitochondrial membrane / transport","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0009055","electron transfer activity",0.0461247842216852,"Redox / electron transfer","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0009055","electron transfer activity",0.0461247842216852,"Redox / electron transfer","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0009055","electron transfer activity",0.0461247842216852,"Redox / electron transfer","ND6","Upregulated",1.35519343284636,0.00173072368349273
