"queryIndex","queryItem","stringId","ncbiTaxonId","taxonName","preferredName","annotation","gene"
39,"mRpS18A","7227.FBpp0081380",7227,"Drosophila melanogaster","mRpS18A","Mitochondrial ribosomal protein S18A; Small ribosomal subunit rRNA binding; structural constituent of ribosome. It is involved in the biological process described with: mitochondrial translation; translation.","mRpS18A"
40,"mRpS18C","7227.FBpp0084989",7227,"Drosophila melanogaster","mRpS18C","Mitochondrial ribosomal protein S18C (mRpS18C) encodes a component of the small subunit of mitochondrial ribosomes, which translate mRNAs encoded by the mitochondrial genome.","mRpS18C"
41,"mRpS33","7227.FBpp0082767",7227,"Drosophila melanogaster","mRpS33","Mitochondrial ribosomal protein S33; Structural constituent of ribosome. It is involved in the biological process described with: mitochondrial translation; translation.","mRpS33"
42,"Mtk","7227.FBpp0086518",7227,"Drosophila melanogaster","Mtk","Metchnikowin (Mtk) encodes an antifungal peptide that is secreted from the fat body during the systemic immune response, and is produced by various epithelia. Its expression is regulated at the transcriptional level by the immune deficiency and/or Toll pathways.","Mtk"
43,"Nazo","7227.FBpp0081319",7227,"Drosophila melanogaster","Nazo","GEO08986p1; It is involved in the biological process described with: defense response to virus; neuromuscular process.","Nazo"
44,"ND2","7227.FBpp0100175",7227,"Drosophila melanogaster","mt:ND2","NADH-ubiquinone oxidoreductase chain 2; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).","ND2"
45,"ND4L","7227.FBpp0100184",7227,"Drosophila melanogaster","mt:ND4L","NADH-ubiquinone oxidoreductase chain 4L; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).","ND4L"
46,"ND6","7227.FBpp0100185",7227,"Drosophila melanogaster","mt:ND6","NADH-ubiquinone oxidoreductase chain 6; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity).","ND6"
47,"ninaD","7227.FBpp0080584",7227,"Drosophila melanogaster","ninaD","Neither inactivation nor afterpotential D (ninaD) encodes a scavenger receptor involved in carotenoid transport, light detection and rhodopsin biosynthesis; Belongs to the CD36 family.","ninaD"
48,"Nmdar1","7227.FBpp0078410",7227,"Drosophila melanogaster","Nmdar1","Glutamate [NMDA] receptor subunit 1; NMDA receptor subtype of glutamate-gated ion channels with high calcium permeability and voltage-dependent sensitivity to magnesium. Mediated by glycine. This protein plays a key role in synaptic plasticity, synaptogenesis, excitotoxicity, memory acquisition and learning. It mediates neuronal functions in glutamate neurotransmission. Is involved in the cell surface targeting of NMDA receptors. Plays a role in associative learning and in long-term memory consolidation.","Nmdar1"
49,"ort","7227.FBpp0083198",7227,"Drosophila melanogaster","ort","Ora transientless (ort) encodes an ionotropic histamine-gated chloride channel required for vision. It is essential in the first-order interneurons to receive histaminergic inputs from the photoreceptors. In the central brain the product of ort modulates preference and tolerance for high and low temperature; Belongs to the ligand-gated ion channel (TC 1.A.9) family.","ort"
50,"PGRP-SC2","7227.FBpp0087788",7227,"Drosophila melanogaster","PGRP-SC2","Peptidoglycan recognition protein SC2 (PGRP-SC2) encodes a secreted peptidoglycan recognition protein (PGRP) with an amidase activity against peptidoglycans. It contributes to the down-regulation of the immune deficiency pathway, notably in the fat body during systemic bacterial infection.","PGRP-SC2"
51,"PPO1","7227.FBpp0291497",7227,"Drosophila melanogaster","PPO1","Prophenoloxidase 1 (PPO1) encodes a protein produced by crystal cells (a type of hemocyte cell) and is involved in the melanization reaction, notably upon wounding. It is thought to be activated by proteolytic cleavage by the serine protease encoded by Hayan.","PPO1"
52,"sau","7227.FBpp0100140",7227,"Drosophila melanogaster","sau","Golgi phosphoprotein 3 homolog sauron; Phosphatidylinositol-4-phosphate-binding protein that links Golgi membranes to the cytoskeleton and may participate in the tensile force required for vesicle budding from the Golgi. Thereby, may play a role in Golgi membrane trafficking and could indirectly give its flattened shape to the Golgi apparatus (By similarity). May also bind to the coatomer to regulate Golgi membrane trafficking. May play a role in anterograde transport from the Golgi to the plasma membrane and regulate secretion (By similarity). Also involved in the control of the local [...] ","sau"
53,"Spn88Eb","7227.FBpp0082594",7227,"Drosophila melanogaster","Spn88Eb","CG6687 protein; Serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: response to fungus; negative regulation of endopeptidase activity; epithelium regeneration; regulation of stem cell division; negative regulation of proteolysis; Belongs to the serpin family.","Spn88Eb"
55,"Sting","7227.FBpp0311271",7227,"Drosophila melanogaster","Sting","Sting, isoform B; cyclic-di-GMP binding; cyclic-GMP-AMP binding.","Sting"
56,"Tep1","7227.FBpp0080369",7227,"Drosophila melanogaster","Tep1","Thioester-containing protein 1; Endopeptidase inhibitor activity. It is involved in the biological process described with: innate immune response.","Tep1"
57,"Tep2","7227.FBpp0079133",7227,"Drosophila melanogaster","Tep2","Thioester-containing protein 2 (Tep2) is a member of the Thioester-containing proteins (TEP) family of genes. The product of Tep2 has endopeptidase inhibitor activity and participates in the cellular immune response to certain Gram-negative bacteria.","Tep2"
58,"tobi","7227.FBpp0084221",7227,"Drosophila melanogaster","tobi","Target of brain insulin; Hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with: carbohydrate metabolic process; Belongs to the glycosyl hydrolase 31 family.","tobi"
59,"TotA","7227.FBpp0083378",7227,"Drosophila melanogaster","TotA","Protein Turandot A; A humoral factor that plays a role in stress tolerance; gives increased resistance to the lethal effects of bacterial challenge and stress. Regulated by the JAK/STAT pathway and NF-KB-like Relish pathway in the fat body, upd3 in the hemocytes and Mekk1 in response to septic injury and consequent immune response. Belongs to the Turandot family.","TotA"
60,"TotC","7227.FBpp0083379",7227,"Drosophila melanogaster","TotC","Turandot C (TotC) encodes a protein that belongs to a class of poorly characterized secreted peptides. Some Turandot genes are expressed in response to stress in the fat body by the JAK-STAT pathway.","TotC"
61,"TotX","7227.FBpp0083389",7227,"Drosophila melanogaster","TotX","Turandot X (TotX) encodes a protein that belongs to a class of poorly characterized secreted peptides. Some Turandot genes are expressed in response to stress in the fat body by the JAK-STAT pathway.","TotX"
62,"TotZ","7227.FBpp0083381",7227,"Drosophila melanogaster","TotZ","Turandot Z (TotZ) encodes a protein that belongs to a class of poorly characterized secreted peptides. Some Turandot genes are expressed in response to stress in the fat body by the JAK-STAT pathway.","TotZ"
63,"Uev1A","7227.FBpp0076859",7227,"Drosophila melanogaster","Uev1A","Ubiquitin-conjugating enzyme variant 1A (Uev1A) encodes a conserved protein that contributes to ubiquitin conjugating enzyme activity, but not catalytically, since it lacks the conserved cysteine residue essential for ubiquitin conjugation. It regulates genomic integrity, IMD pathway-mediated innate immunity, JNK-pathway mediated cell death and tumor invasion.","Uev1A"
