"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"lncRNA:CR44131",-1.04050107646167,-1.05309069855619,-0.346333267382466,1.18763796715151,1.14455108952909,1.12288614865931,-1.04624390243217,-1.03071185283959,-1.03742167696756,0.749144000050303,0.650139773046685,0.699943496202744
"lncRNA:CR45191",-0.942566029747406,-0.958720168576104,-0.503639629812876,1.39065588832016,1.32964152351134,1.49703674274987,-0.949922643490794,-0.930072575451617,-0.93862964782578,0.33859624993463,0.263584919082209,0.404035371306369
"CG43106",-1.06582439115685,-1.07771717018975,-0.160033057086511,1.18946361181655,1.09276873416209,1.0693218678523,-1.07125183854631,-1.05656328458195,-1.06291240158125,0.728851020367236,0.712035097052629,0.701861811891816
"CG17999",1.01792153170632,0.962427567367031,-0.547416713227346,0.524605181446067,1.47450426651649,0.639324512726613,-0.074117936340104,0.426094854795879,-0.468874269635896,-1.12188533097487,-1.73449729708723,-1.09808636729293
"ND-24L",-1.08508871191559,-1.09528077167554,-0.0216016601406214,1.06570612102687,1.06971481258586,1.05655651047002,-1.08974499950328,-1.07712447229105,-1.08258706325407,0.805538500179063,0.709825093159256,0.744086641359069
"CG15387",-1.19349167471673,-1.14824094046621,-1.28722712720083,-0.589565826546539,-0.65433900729826,-0.733305290570636,0.81878868958632,0.83733189582009,0.965481667170509,1.05840056837613,0.900968067721748,1.0251989781244
"Tina-1",-0.916390202784213,-0.687311605725078,-0.786819637597415,-1.20318129496659,-0.952406262535861,-1.11065588124673,0.963660580423744,0.90840927496623,0.973741847310138,1.04720089553573,0.630475947859601,1.13327633876044
"CG13326",-1.71019205988446,-1.86762998460922,-1.1939563522686,0.176090213501705,0.16790204744015,0.199598666657248,0.569972738138688,0.60239942437221,0.616097122769663,0.875987840837108,0.730287775059996,0.833442567985509
"CG31870",-0.652209098224155,-0.662900331080655,-0.642759228678314,-0.0136566463905521,-0.6565299195999,-0.2959629736883,-0.657077473640134,-0.643942643564761,-0.64960437724188,1.71406958281163,1.54719282218524,1.61338028711178
"CG30008",-0.517508998012644,-0.507978046568893,-0.669988747753268,-1.07205137212789,-1.28131231228904,-1.34189715993712,0.289306658883287,0.789720060229382,1.01350637539998,1.11294205854421,1.28320783137986,0.902053652252132
"sau",-1.14620328264674,-1.15767012449603,-1.1359657184205,-0.510459500908783,-0.709376315470188,-0.980663618055908,0.950869424869579,0.838097722821517,1.00074178719494,0.974255911997352,0.859108746464813,1.01726496664994
"Bin1",-1.16170040586934,-1.2465223366649,-1.36316191349462,-0.337373828887591,-0.29037624230768,-0.352194204560386,0.445716405656334,-0.0143018005166612,0.249386652157228,1.16010579047644,1.6476414930484,1.26278039096277
"Cyp4g1",0.353258322750301,0.774171460399031,0.562659991415439,-1.51088282216007,-1.72488598870214,-1.57038721705055,0.466145623558726,1.06479342564098,0.833430888308215,0.277544126644619,0.24163322334371,0.232518965851706
"asRNA:CR44114",-1.04800537767876,-1.05819262246503,-1.03890692733767,-1.05327531616177,-0.870408936491622,-0.635479692131477,0.978357289766885,0.950080385091914,0.970071736189795,0.961573248643003,0.868515838658377,0.97567037391636
"LysD",0.122208547424498,-0.0100656710747875,-0.464738594773185,-1.11196779461016,-1.29839590814666,-1.63333193338915,1.34112301778571,1.53805572772355,0.892784246570845,0.117971671684258,0.0588869010013103,0.447469789803791
"CG15531",-0.0865319209689652,0.267120291316288,0.26411801594,-1.47508718931814,-1.57040484742746,-1.65066240621167,0.371954284313164,0.931602877712416,1.10997196932315,0.721496882484845,0.784741533399338,0.331680509437
"beat-IIIc",-0.800167102694968,-1.18718592604578,-1.03231717367908,-0.736277660455672,-1.24825337536622,-0.571216794258744,0.80761405371931,0.715139168469804,0.77592297715314,1.36717733331146,0.955241853769434,0.954322646077319
"CG9458",0.153923975102613,0.268572741686278,0.531541301611011,-1.67336501146193,-1.59443079962752,-1.38085827505834,0.140985828769838,1.19905132249206,0.883527882360691,0.581487270089293,-0.00271026182304621,0.892274025859067
"CG18628",-0.859546941900307,-0.584079171960853,-1.08969814882092,0.0445500799369644,0.218606801563008,0.30199219233146,-0.29557690754491,-1.09231940331821,-0.964984865674105,1.50206213448521,1.13532789620745,1.68366633469522
"Paip2",-1.01448036072987,-0.66158047071301,-0.906118344160805,-1.00455367142176,-0.84859339638541,-1.10270974885923,1.30568107351707,1.30401151249124,0.64949813023229,1.06335966027813,0.4201935027942,0.795292112957165
"lectin-46Ca",-0.906075484452218,-0.643597736793414,-0.830739198707141,0.616271627749915,0.444854948481203,0.619742348507824,-1.11992068469911,-0.886816919557187,-1.10409662054439,1.35638965793436,1.19237622049273,1.26161184158742
"Ance-2",-0.651800883397703,-0.675964515051719,-0.443073696296652,-1.52626994578762,-0.833943236773484,-0.920608564856878,-0.143663257333924,0.419708855542403,1.3722862402306,1.32037783040159,1.2098906882484,0.873060485074973
"Vha16-1",-0.904765335851402,-1.00481317377824,-0.712463812971442,-0.772442364859844,-1.04354008544931,-1.21127632754512,0.881979436934369,0.889428795881043,0.863393392320461,1.08846478962121,0.68254259720622,1.24349208849205
"FarO",0.0166607671179877,0.563694722835104,0.36597978969243,-1.29982535009783,-1.54417572683842,-1.78770738805768,0.13181653612356,1.05942061010778,1.2563644823485,0.544093101168216,0.454717879416657,0.238960576183691
"CG10029",-0.772977450454752,-0.786625425494346,-0.406116901637278,-0.233892456833734,-0.0939054253463593,-0.147878246887871,-0.779190296819308,-0.762435501698413,-0.769654722548536,1.7891200586101,1.19866521093378,1.76489115817672
"AOX1",0.26618789474779,0.703792797288364,0.331937540997808,-1.41141994399039,-1.47736790988987,-1.48480292934502,1.52911090900391,1.20374974206193,0.0475620475343383,0.235028112903365,-0.193249488300982,0.249471226988754
"Arc1",-0.926845292469594,-1.42731203568226,-0.922800269955698,-0.686098210478846,-0.374202523959146,-0.848704213483065,0.297668213461279,0.987903569512283,0.16460252443227,1.34085764324586,0.911352228909037,1.48357836646788
"CG18609",0.247112551143351,0.795285067379565,0.378705346815303,-1.49028619251995,-1.58303605103717,-1.47109707588565,0.940364008926486,1.27163595602147,0.747172502197688,0.137957089894029,-0.297528858390773,0.323715655455667
"CG32985",-1.0725473783218,-0.654712583552325,-0.350595513057776,0.455880197176102,0.0712752888867047,0.502116404645467,-1.08390001953836,-0.686803155719439,-1.26862831936916,1.3171090500364,1.34277895131714,1.42802707749704
"Mst57Dc",-0.835412473521474,-0.84905223013408,-0.823352492492927,0.428131865743997,-0.0906944325606635,0.310885133713967,-0.841624095032142,-0.824862969649581,-0.832088673380912,1.58212348616481,1.08967981308127,1.68626706806773
"BG642167",-1.00778199266818,-1.02045308428606,-0.737130971021635,0.592150306928903,0.467279056816494,0.691091967390511,-1.01356094794851,-0.73898929578104,-1.00468393403593,1.30303618465427,1.12429647764868,1.34474623230251
"PH4alphaNE2",-0.898710757905926,-0.912108817519674,-0.886840237701809,0.546636741419037,0.215786489348336,0.584166881224591,-0.904815975168125,-0.888328206905061,-0.895441413030318,1.45077446184255,1.19020129909353,1.39867953530287
"CG31419",-0.72176516744841,-0.735656758413097,-0.709516433495541,0.139155034362065,-0.727375101708572,0.247848933666454,-0.728086435334975,-0.71104880353727,-0.718386163428687,1.6277707896123,1.4433664751846,1.59369363054114
