"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
0,NA,NA,NA,NA,NA,"ATPsynF"
5.29950843299363,5.85383097470713,1.65266474606881,3.54205593640914,0.000397021273913742,0.0180499427945174,"ATPsynG"
4.56208411914318,2.99993569636014,1.89441039853268,1.58357222842725,0.113291097921626,NA,"ATPsynGL"
22701.3579862438,0.0337497088986974,0.129374331477769,0.260868663151291,0.794193791480366,0.995420125112646,"ATPsynO"
344.360340227716,-0.142893448783701,0.20566402723646,-0.694790677318648,0.487186491457054,0.980954182142257,"ATPsynbeta"
1.35675501162333,3.88692530102951,3.2570640510377,1.19338313282207,0.232719357745097,NA,"ATPsynbetaL"
49.3123627886486,0.544174508499956,0.38479449875528,1.41419513600177,0.157304615727412,0.715596836402433,"ATPsyndelta"
0,NA,NA,NA,NA,NA,"ATPsynepsilonL"
4.57681816327929,0.876918416406123,1.77652274244782,0.493615080433951,0.621578048419979,NA,"ATPsyngamma"
66.2162863133734,-0.251475510571186,0.304780916912778,-0.825102546177959,0.409313374296984,0.949841431297328,"ATbp"
0,NA,NA,NA,NA,NA,"Aasdh"
278.169679978084,0.203839239046856,0.20681629243236,0.985605324655559,0.32432682412117,0.917809949199057,"Aatf"
72.781269216356,-0.00773290552612585,0.35809906778575,-0.0215943190635515,0.982771565207038,0.998165047530339,"Abca3"
22.8914101932907,-0.71096641315985,0.535198781461442,-1.3284156051672,0.184040846993795,0.771337018092036,"Abcd1"
7.55152012662166,-0.519087498765743,0.83232646074421,-0.623658532136069,0.532851861809286,0.981949904176841,"Abcd3"
1.62843479000097,0.530819119525725,1.89837456576483,0.279617694578553,0.779770830110939,NA,"Abd-B"
0.3380256725725,1.87898969322941,4.03439022864193,0.465743169783038,0.641399347888766,NA,"Abi"
0,NA,NA,NA,NA,NA,"Abl"
581.669077374298,0.0964012494245908,0.141396631174918,0.681778969014725,0.495378724593186,0.981369751472366,"Abp1"
34.1856776619251,0.110000609728652,0.501260154441126,0.219448142354934,0.826300971655642,0.996870824825408,"Ac13E"
338.111039200849,0.146320400302805,0.211805181198132,0.690825406041083,0.489675267613362,0.980954182142257,"Ac3"
14.2836713023928,-0.0646411668358193,0.708471441146382,-0.0912403282357056,0.927301631275522,0.99702764477468,"Ac76E"
2.6516735429786,-1.61433326698488,1.53097459754815,-1.05444810748018,0.291677806894952,NA,"Ac78C"
150.208166392481,0.107923077271691,0.23305870349262,0.463072503426627,0.64331239842596,0.991270637338778,"AcCoAS"
31.2173715001349,-0.564675557866912,0.532647346431715,-1.06013023748219,0.289085353273179,0.89487014925148,"Acadvl"
0,NA,NA,NA,NA,NA,"Acam"
1.35104770309955,-2.74770028435698,2.79153029156173,-0.984298931902245,0.324968554530481,NA,"Acat1"
659.448721675655,0.0939934936971643,0.179361517325971,0.524044929472473,0.600247290379428,0.986978772225805,"Acat2"
0,NA,NA,NA,NA,NA,"Acbp1"
2.35588748696085,-0.034429288980119,1.79596660438315,-0.019170339190101,0.984705219150784,NA,"Acbp2"
0,NA,NA,NA,NA,NA,"Acbp3"
0,NA,NA,NA,NA,NA,"Acbp4"
472.299453413827,-1.09583972460155,0.256537574069186,-4.27165388375433,1.9402856471017e-05,0.00153901806221173,"Acbp5"
0.486076688526883,-2.42971254443186,3.99647196494603,-0.607964366006674,0.543211107923135,NA,"Acbp6"
575.965171729802,0.261269557211254,0.217154598369494,1.20315001005273,0.228918275687762,0.836263921375774,"Ace"
16.7359868748169,1.25678983205688,0.797820902073185,1.57527814675078,0.115192255930999,0.633387507537998,"Acer"
298.459141078424,0.123604296566166,0.192304008095526,0.642754655975585,0.52038330993726,0.981949904176841,"Acf"
187.418338484198,0.186593807573236,0.586409545812977,0.318197084112179,0.750335444456671,0.995153003289659,"Achl"
418.09690898294,-0.0178699825565148,0.189555906463996,-0.0942728870329817,0.924892386989578,0.99702764477468,"Ack"
