"","CSF1","CSF2","CSF3","WRF1","WRF2","WRF3"
"CG5327",0,0,11.3403083357191,0,0,1.00651570942363
"CG5334",0,0.923970219736966,7.21655985000303,0,0,0
"CG5335",253.293096157523,276.267095701353,180.413996250076,299.861274212813,245.138200899945,243.576801680519
"CG5339",164.540790810989,145.063324498704,96.9080894143265,147.0657204738,177.443132868998,173.120702020865
"CG5342",0.997216914005997,0,6.18562272857403,0,0,0
"CG5346",550.46373653131,602.428583268502,559.79885693595,718.139102573362,676.950680309473,410.658409444843
"CG5347",1.99443382801199,0,27.8353022785831,0,0,0
"CG5348",0,0,0,0,0,0
"CG5355",1914.65647489151,2082.62887528712,1794.8615284079,1791.52786758993,2103.67552320413,1753.35036581597
"CG5359",0,0.923970219736966,0,0,0,0
"CG5376",324.095497051949,293.822529876355,324.745193250137,333.285301593223,372.32287417021,461.990710625448
"CG5377",266.256916039601,269.799304163194,260.827091721538,237.788080506339,177.443132868998,208.348751850692
"CG5381",27.9220735921679,38.8067492289526,48.4540447071632,42.9737494890975,13.3338770363987,32.2085027015563
"CG5382",245.315360845475,220.828882517135,253.610531871535,241.607969349815,250.266615144714,274.778788672652
"CG5386",0,0,2.06187424285801,0,0,0
"CG5388",0,0.923970219736966,2.06187424285801,0,0,0
"CG5390",0,0,0,0,0,0
"CG5391",25.9276397641559,20.3273448342133,37.1137363714442,40.108832856491,50.2584595987336,44.2866912146399
"CG5397",0.997216914005997,12.9355830763175,14.4331197000061,10.5046943195572,10.2568284895375,6.0390942565418
"CG5399",19.9443382801199,11.0876426368436,13.4021825785771,45.838666121704,44.1043625050111,30.195471282709
"CG5402",150.579754014906,113.648337027647,198.970864435798,192.904386595504,217.444763978194,118.768853711989
"CG5404",91.7439560885517,59.1340940631659,94.8462151714685,94.5422488760144,97.4398706506059,35.2280498298272
"CG5412",203.432250457223,213.437120759239,177.321184885789,194.814331017242,180.520181415859,243.576801680519
"CG5418",3.98886765602399,0,7.21655985000303,1.90994442173767,5.12841424476873,2.01303141884727
"CG5421",0,0,0,0,0,0
"CG5435",0,0,0,0,0,0
"CG5439",228.362673307373,251.319899768455,218.558669742949,198.634219860717,236.932738108315,251.628927355908
"CG5440",0,0,0,0,0,0
"CG5445",0,0,6.18562272857403,0,0,0
"CG5446",3.98886765602399,0,3.09281136428701,4.77486105434416,3.07704854686124,12.0781885130836
"CG5447",0,0,0,0,0,0
"CG5455",2.99165074201799,5.5438213184218,2.06187424285801,5.729833265213,8.20546279162997,4.02606283769454
"CG5466",114.67994511069,111.800396588173,118.557768964336,109.821804249916,67.6950680309473,100.651570942363
"CG5478",0,0,5.15468560714502,0,0,0
"CG5493",0,0,4.12374848571602,0,0,0
"CG5498",281.215169749691,275.343125481616,245.363034900103,233.968191662864,224.62454392087,275.785304382076
"CG5500",270.245783695625,202.349478122396,243.301160657245,184.309636697685,231.804323863547,234.518160295707
"CG5504",0,0,0,0,0,2.01303141884727
"CG5506",814.726218742899,1004.35562885408,742.274727428884,1251.01359623817,954.910732375938,1107.167280366
"CG5509",7.97773531204797,7.39176175789573,36.0827992500152,9.54972210868833,11.2825113384912,6.0390942565418
"CG5510",261.270831469571,258.711661526351,209.280235650088,234.923163873733,281.037100613327,274.778788672652
"CG5515",0,0,0,0,0,0
"CG5516",0,0,0,0,0,0
"CG5521",0,0,3.09281136428701,0.954972210868833,0,0
"CG5532",0,0,0,0,0,0
"CG5535",24.9304228501499,24.0232257131611,22.6806166714381,27.6941941151962,13.3338770363987,20.1303141884727
"CG5539",0,0,2.06187424285801,0,0,0
