"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
169.690888524241,-0.381164851749008,0.213700878563199,-1.78363727052383,0.0744826252927337,0.261834902682306,"ATP7"
21.435361803371,-1.87021301587915,0.656732488155685,-2.84775467882106,0.0044028849811199,0.0371182346886586,"ATP8"
82.0302416713831,-0.420783370963854,0.275974599262568,-1.52471775333031,0.127329511703952,0.364895848451663,"ATP8A"
0,NA,NA,NA,NA,NA,"ATP8B"
14.2927728286042,-0.115217927291193,0.659472294513955,-0.174712308992617,0.861305695363528,0.950054711148329,"ATPCL"
18122.8661726403,-0.0531134937184132,0.131247580593649,-0.404681697583866,0.685711497232658,0.868331949956877,"ATPsynB"
0,NA,NA,NA,NA,NA,"ATPsynC"
0.505001185495314,-1.12322253344835,3.17147133317341,-0.354164491950314,0.72321561248494,NA,"ATPsynCF6"
381.144771197732,0.655987349609515,0.163057100291133,4.02305295775694,5.74485724313892e-05,0.00120287627769361,"ATPsynCF6L"
0,NA,NA,NA,NA,NA,"ATPsynD"
4.98477890783585,0.887569938531223,0.985367478515175,0.900750184965186,0.367721159164865,0.655708243495238,"ATPsynE"
0,NA,NA,NA,NA,NA,"ATPsynF"
4.16526176902401,5.41829926690392,1.61192479233967,3.36138465805181,0.000775527395961508,0.00962706543386277,"ATPsynG"
579.772431532249,0.564230872697677,0.164648971395563,3.42687153108375,0.000610577861927831,0.00799939509647341,"ATPsynGL"
19188.5912869374,0.0716964261998431,0.136853282758522,0.523892629790633,0.600353221298682,0.817455283577188,"ATPsynO"
289.6115402678,-0.036368953105236,0.19558822745498,-0.18594653460729,0.852486689174965,0.947385556249186,"ATPsynbeta"
198.257334628536,-0.0261900262141713,0.205554103568458,-0.127411838340891,0.898614446962997,0.964664532870133,"ATPsynbetaL"
7.87193494773087,-0.859841335018036,0.829587475678861,-1.03646855844155,0.299983600401315,0.590406213132511,"ATPsyndelta"
0,NA,NA,NA,NA,NA,"ATPsynepsilonL"
4.46464416570099,0.892379744256602,1.04497734457415,0.853970422315965,0.393121377943437,0.677520079509479,"ATPsyngamma"
74.2152253122128,0.214179881176688,0.286694685985595,0.747066100790754,0.455023661479508,0.722409972802311,"ATbp"
0,NA,NA,NA,NA,NA,"Aasdh"
365.860590756266,0.170481963174,0.177650635435694,0.959647359300952,0.337232725047713,0.628865410528483,"Aatf"
32.3910241125934,0.0486720619653654,0.408756593888065,0.119073460081463,0.905217156912712,0.967682222625607,"Abca3"
12.9647061749855,0.18103138531787,0.645824114191714,0.280310662515972,0.779239171066458,0.913619998003302,"Abcd1"
7.06109547951765,-1.2351071590621,0.896323757162378,-1.37796990115743,0.168212581260383,0.432005556376003,"Abcd3"
5.53046721639171,0.285258214257787,0.962550033759358,0.2963567651062,0.766957639484098,0.907348157454352,"Abd-B"
0.510960708599401,-1.07415748773605,3.15942333056866,-0.339985299640967,0.733867598418546,NA,"Abi"
0,NA,NA,NA,NA,NA,"Abl"
461.098401234005,-0.0812000479699048,0.167895279015464,-0.483635087573999,0.62864486867313,0.833459637244485,"Abp1"
23.229240710737,-0.285458561339241,0.489832201237353,-0.582768059384727,0.560049449604836,0.795704792726415,"Ac13E"
414.911511340477,-0.266439737802269,0.200817358153936,-1.32677643133833,0.184582649074439,0.453818653523483,"Ac3"
9.32382087753058,0.543758553745111,0.776040654167895,0.700683077393868,0.483500819244223,0.742148370598967,"Ac76E"
1.89087546901718,-0.401557718477544,1.79404859489078,-0.223827670900961,0.82289139789259,NA,"Ac78C"
161.991924198408,-0.206281946596318,0.266841156230159,-0.773051464438991,0.439491923656196,0.712092765187989,"AcCoAS"
27.0422637662148,-0.499607354938444,0.438697547524058,-1.13884237046264,0.254768905895237,0.541576603041657,"Acadvl"
0,NA,NA,NA,NA,NA,"Acam"
0.324251905946949,-0.1844556383864,4.05900990873791,-0.0454435053211667,0.963753804554555,NA,"Acat1"
637.530277480018,-0.0867538054775192,0.15494428488418,-0.559903229359943,0.575545445924988,0.804863150104874,"Acat2"
0,NA,NA,NA,NA,NA,"Acbp1"
1.11413025830934,2.29523521226296,2.22701597063555,1.03063257853869,0.302713152535613,NA,"Acbp2"
0,NA,NA,NA,NA,NA,"Acbp3"
4.27423369162916,-0.226846574517938,1.08843923206168,-0.208414551622008,0.834905295238413,0.938489887469601,"Acbp4"
143.524522048094,-1.23889251304837,0.653373184228821,-1.89614839260757,0.0579404250748004,0.224886412708294,"Acbp5"
1.04956145043096,0.196609228133082,2.57613601600289,0.0763194283654864,0.939164969321345,NA,"Acbp6"
902.786107111341,-0.19965878824204,0.166576618288815,-1.19860032154012,0.230683393113966,0.514605498444524,"Ace"
15.884927427847,1.02373758681785,0.572063146544467,1.7895534662593,0.0735257249529155,0.259778390458643,"Acer"
396.389131401857,0.233351575396145,0.16390877367108,1.42366738625241,0.154542778910607,0.409929477849065,"Acf"
12.6609535217567,-1.07390219050976,0.83634934644977,-1.28403542738257,0.199129559803442,0.471422146194634,"Achl"
864.932348956599,-0.0638338215375757,0.144548445742511,-0.441608494713841,0.658772535889481,0.852480132681392,"Ack"
79.3809143142833,-0.0934648045642257,0.29746617551734,-0.314203133857743,0.753366762657032,0.901824342789962,"Ack-like"
6.31216882416946,2.28900088423122,1.01383910957383,2.2577555576776,0.0239609033741096,0.124092392207261,"Acn"
22.8861873092863,0.113379237088474,0.487961839164048,0.232352671845629,0.816264105406915,0.93057034588406,"Acox3"
56.660860039569,-0.629213132793717,0.332550722280558,-1.8920816905124,0.0584800974209942,0.226153609198359,"Acox57D-d"
18.4508918785421,-0.308184578406813,0.582752446980029,-0.528843044767815,0.596914334665209,0.815428016404539,"Acox57D-p"
3885.43048242509,-0.135165357068035,0.221142317999022,-0.611214345092615,0.541057687783531,0.781984836473067,"Acp1"
3.55703209955369,-1.41530223172642,1.42007661908954,-0.996637936785283,0.318940284710244,NA,"Acp24A4"
104.122941465741,-5.47238712478484,1.49132747541424,-3.66947381779096,0.000243050228148163,0.00387335417869708,"Acp26Aa"
0,NA,NA,NA,NA,NA,"Acp26Ab"
57.4987784347079,-3.86540663288453,0.465768088204381,-8.29899413630151,1.04996550954499e-16,2.31350354887242e-14,"Acp29AB"
0,NA,NA,NA,NA,NA,"Acp32CD"
48.839462796504,-5.07715098143561,1.47057376497556,-3.45249663931003,0.000555424395009825,0.00743762363207217,"Acp33A"
0,NA,NA,NA,NA,NA,"Acp36DE"
