"","CSM1","CSM2","CSM3","WRM1","WRM2","WRM3"
"CG14507",30.9374248124633,34.4237660171423,38.6540066746548,45.9863415775852,49.914562424903,38.0885957411003
"CG14511",28.0370412362949,45.2426639082441,42.8555291392912,58.8197392271439,52.8507131557797,80.6582027458594
"CG14515",977.429265168762,1287.44884904112,1052.06122514495,656.642179735752,2018.11426902255,662.069414205596
"CG14518",0.966794525389478,2.95060851575505,2.52091347878184,3.20834941238967,0.978716910292216,1.12025281591471
"CG14535",0,0,0,0,0,0
"CG14537",418.622029493644,431.772379472156,361.33093195873,393.557527919799,329.827598768477,359.601153908623
"CG14540",3338.34149616987,3210.2620651415,3703.22190033052,3388.01697948349,2774.66244067843,3015.72058044241
"CG14543",190.458521501727,192.773089695997,128.566587417874,171.111968660782,144.850102723248,148.993624516657
"CG14545",20.302685033179,25.5719404698771,31.0912662383093,43.8474419693254,30.3402242190587,33.6075844774414
"CG14546",526.903016337266,411.118119861871,436.958336322185,604.239139333387,441.401326541789,486.189722106986
"CG14551",18.3690959824001,17.7036510945303,19.3270033373274,14.9722972578184,8.80845219262994,15.683539422806
"CG14556",457.293810509223,501.603447678359,554.600965332004,447.030018126293,359.189106077243,462.664412972777
"CG14561",0,1.9670723438367,1.68060898585456,0,1.95743382058443,1.12025281591471
"CG14562",58.0076715233687,68.8475320342846,68.9049684200369,60.9586388354037,52.8507131557797,82.8987083776889
"CG14563",11.6015343046737,11.8024340630202,10.0836539151273,10.6944980412989,4.89358455146108,6.72151689548829
"CG14564",119.882521148295,69.8310682062029,108.399279587619,25.6667952991173,2.93615073087665,54.892387979821
"CG14565",614.881318147708,310.797430326199,594.095276499586,4.27779921651955,1.95743382058443,47.050618268418
"CG14566",0,0,0,0,0,0
"CG14567",343.212056513265,410.134583689952,294.946877017475,194.63986435164,297.529940728834,221.810057551113
"CG14568",143.085589757643,25.5719404698771,73.1064908846733,943.254727242562,91.9993895674683,988.062983636778
"CG14569",76.3767675057688,34.4237660171423,26.8897437736729,135.820125124496,23.4892058470132,235.25309134209
"CG14570",133.417644503748,135.727991724732,333.60088369213,1089.76935040836,245.657944483346,805.46177464268
"CG14572",281.337206888338,154.415178991181,79.8289268280915,64.1669882477933,34.2550918602276,621.740312832667
"CG14573",155.653918587706,29.5060851575505,23.5285258019638,666.267227972921,48.9358455146108,729.284583160479
"CG14589",0,0,0,0,0,0
"CG14591",0.966794525389478,0,4.20152246463639,0,0.978716910292216,0
"CG14598",25.1366576601264,42.2920553924891,36.133093195873,22.4584458867277,26.4253565778898,235.25309134209
"CG14605",0,0,0,0,0,0
"CG14606",0,0,0,0,0,0
"CG14607",187.558137925559,369.8096006413,413.429810520221,247.042904754004,649.868028434031,334.9555919585
"CG14609",0,0,1.68060898585456,0,0,0
"CG14610",0,0,0,0,0,0
"CG14613",28.0370412362949,16.720114922612,8.40304492927279,13.9028474536886,11.7446029235066,23.525309134209
"CG14615",1.93358905077896,0,0,0,3.91486764116886,0
"CG14618",67.6756167772635,70.8146043781213,79.8289268280915,112.292229433638,119.40346305565,96.3417421686654
"CG14621",0.966794525389478,0.983536171918351,1.68060898585456,7.48614862890922,0,13.4430337909766
"CG14624",0,0,0,0,0,0
"CG14625",294.872330243791,332.435226108403,231.924040047929,130.472876103846,357.231672256659,162.436658307634
"CG14626",116.982137572127,135.727991724732,115.121715531037,51.3335905982347,196.722098968735,61.6139048753093
"CG14627",0,1.9670723438367,1.68060898585456,2.13889960825978,0,0
"CG14628",152.753535011538,148.513961959671,156.296635684474,113.361679237768,77.3186359130851,135.55059072568
"CG14629",4152.38248654781,4907.84549787257,2904.09232755668,4668.14839502696,6056.30024088823,4214.39109347116
"CG1463",95.7126580135583,95.40300867608,112.600802052255,106.944980412989,77.3186359130851,92.9809837209213
"CG14630",1.93358905077896,0.983536171918351,0,0,0,0
"CG14631",140.185206181474,121.958485317875,118.482933502746,56.6808396188841,58.723014617533,87.3797196413477
"CG14634",23.2030686093475,22.6213319541221,44.5361381251458,18.1806466702081,25.4466396675976,42.5696070047591
"CG14635",4.83397262694739,1.9670723438367,0,1.06944980412989,1.95743382058443,1.12025281591471
"CG14636",0,0,0,1.06944980412989,0,0
"CG14641",646.785537485561,554.71440096195,553.760660839077,781.767806818949,748.718436373545,635.183346623643
"CG14642",0,0,0,0,0,0
"CG14644",0,0,0,0,0,1.12025281591471
"CG14645",0,0,0,0,0,0
"CG14646",0,0,0,0,0,0
"CG14647",223.329535364969,203.591987587099,206.714905260111,244.904005145744,264.253565778898,252.056883580811
"CG14650",552.039673997392,512.422345569461,575.608577655186,591.405741683828,672.378517370752,550.044132614125
"CG14655",517.235071083371,455.377247598196,461.327166617076,388.21027889915,376.806010462503,374.164440515515
"CG14657",23.2030686093475,42.2920553924891,38.6540066746548,27.8056949073771,23.4892058470132,19.0442978705501
"CG14658",1056.7064162507,1009.10811238823,1077.27035993277,712.253569550506,621.485238035557,676.632700812488
"CG14659",44.472548167916,72.781676721958,30.250961745382,50.2641407941048,30.3402242190587,66.0949161389681
"CG14662",35.7713974394107,28.5225489856322,26.0494392807456,25.6667952991173,23.4892058470132,21.2848035023796
"CG14664",0,0,0,0,0,0
"CG14667",206.894028433348,200.641379071344,190.749119894492,197.848213764029,203.573117340781,168.037922387207
"CG14668",383.817426579623,377.677890016647,421.832855449494,514.405355786476,353.31680461549,384.246715858747
"CG14669",142.118795232253,106.221906567182,131.927805389583,144.375723557535,133.105499799741,133.310085093851
"CG14671",4.83397262694739,0,0,0,1.95743382058443,0
"CG14676",942.624662254741,995.338605981371,948.703772514898,513.335905982347,346.465786243444,406.651772177041
"CG1468",620.682085300045,636.347903231173,545.357615909804,725.086967200064,969.908458099586,748.328881031029
"CG14683",0,0,0,0,0,0
"CG14684",161.454685740043,153.431642819263,111.760497559328,78.0698357014819,84.1696542851306,95.2214893527507
"CG14687",691.258085653477,766.174677924395,663.84054941255,658.781079344011,903.355708199715,844.670623199695
"CG14689",734.763839296003,741.586273626437,909.209461347316,861.97654212869,698.803873948642,741.607364135541
