"","CSF1","CSF2","CSF3","WTF1","WTF2","WTF3","CSM1","CSM2","CSM3","WTM1","WTM2","WTM3"
"spz4",63.8218824963838,39.7307194486896,37.1137363714442,35.3339718021468,17.4366084322137,29.1889555732854,258.134138278991,214.4108854782,157.977244670328,43.8474419693254,126.254481427696,60.4936520593946
"spz5",81.7717869484917,189.413895046078,85.5677810786074,124.146387412948,136.415818910848,56.3648797277235,249.432987550485,229.163928056976,174.783334528874,110.153329825379,383.657028834549,119.867051302874
"spz6",67.8107501524078,46.1985109868483,29.8971765214411,34.378999591278,28.7191197707049,92.5994452669743,58.9744660487582,75.732285237713,65.5437504483277,57.750289423014,92.9781064777605,58.2531464275651
"sqa",52.8524964423178,57.2861536236919,40.2065477357312,57.29833265213,84.1059936142072,20.1303141884727,12.5683288300632,22.6213319541221,21.007612323182,29.9445945156369,22.510488936721,50.4113767161621
"sqd",2890.93183370338,2661.03423284246,2685.59120132256,3530.53226358207,3879.13253474307,3295.33243265298,2265.19957298755,2143.12531861009,2077.23270651623,3916.32518272365,3598.74207914448,3151.27117116809
"sqh",11.966602968072,8.3157319776327,8.24749697143204,3.81988884347533,9.23114564058372,15.0977356413545,3.86717810155791,18.6871872664487,8.40304492927279,2.13889960825978,9.78716910292216,3.36075844774414
"squ",0,0,0,0,0,0,0,0,1.68060898585456,0,0.978716910292216,0
"sqz",55.8441471843358,82.23334955659,84.5368439571784,54.4334160195235,43.0786796560574,45.2932069240635,69.6092058280424,52.1274171116726,89.0722762502916,53.4724902064944,73.4037682719162,43.6898598206739
"sr",4.98608457002998,2.7719106592109,9.27843409286104,10.5046943195572,4.10273139581499,5.03257854711817,2.90038357616843,4.91768085959175,10.9239584080546,4.27779921651955,6.85101837204551,13.4430337909766
"sra",4.98608457002998,13.8595532960545,16.4949939428641,7.63977768695066,8.20546279162997,10.0651570942363,77.3435620311583,68.8475320342846,99.1559301654189,38.500192948676,29.3615073087665,35.8480901092709
"srl",19.9443382801199,12.0116128565806,12.3712454571481,34.378999591278,12.308194187445,25.1628927355908,10.6347397792843,8.85182554726516,6.72243594341823,9.625048237169,17.6169043852599,10.0822753432324
"sro",59.8330148403598,60.0580642829028,59.7943530428823,23.8743052717208,35.8988997133811,39.2541126675217,26.1034521855159,24.5884042979588,24.3688302948911,20.3195462784679,11.7446029235066,40.3291013729297
"srp",8.97495222605397,1.84794043947393,1.030937121429,1.90994442173767,1.02568284895375,0,2.90038357616843,2.95060851575505,0,1.06944980412989,1.95743382058443,0
"srw",0,1.84794043947393,0,0,0,0,1.93358905077896,12.7859702349386,0,1.06944980412989,0,0
"ss",20.9415551941259,12.0116128565806,6.18562272857403,17.189499795639,11.2825113384912,22.1433456073199,6.76756167772635,12.7859702349386,7.56274043634551,19.250096474338,15.6594705646755,12.3227809750619
"ssh",11.966602968072,7.39176175789573,9.27843409286104,5.729833265213,10.2568284895375,5.03257854711817,8.7011507285053,7.86828937534681,10.0836539151273,11.7639478454288,7.82973528233773,5.60126407957357
"ssp",251.298662329511,243.928138010559,295.878953850124,222.508525132438,238.984103806223,239.550738842825,441.825098102992,422.920553924891,389.901284718257,442.752218909774,405.188800860977,360.721406724538
"ssp2",0,0,0,0,0,0,0,0,0,0,0,0
"ssp3",0,3.69588087894787,0,0.954972210868833,0,1.00651570942363,0.966794525389478,0.983536171918351,0,0,0,0
"ssp5",4.98608457002998,0,116.495894721478,0,0,0,2832.70795939117,2765.7037154344,3133.49545412582,2898.208969192,2231.47455546625,2497.0435266739
"ssp6",18.9471213661139,18.4794043947393,20.6187424285801,21.0093886391143,13.3338770363987,22.1433456073199,16.4355069316211,19.670723438367,26.0494392807456,14.9722972578184,19.5743382058443,14.5632866068913
"ssp7",0,0,0,0,0,0,0,0,0,0,0,0
"sstn",215.398853425295,222.676822956609,247.424909142961,185.264608908554,212.316349733426,202.30965759415,258.134138278991,269.488911105628,282.342309623566,304.793194177018,274.04073488182,273.34168708319
"ssx",38.8914596462339,35.1108683500047,36.0827992500152,17.189499795639,18.4622912811674,16.1042513507781,52.2069043710318,26.5554766417955,35.2927887029457,40.6390925569358,50.8932793351952,49.2911239002474
"st",217.393287253307,282.734887239512,276.291148542973,225.373441765045,301.550757592402,247.602864518214,105.380603267453,138.678600240487,147.053286262274,304.793194177018,172.25417621143,268.860675819531
"sta",1.99443382801199,2.7719106592109,1.030937121429,7.63977768695066,2.05136569790749,3.0195471282709,0,0,1.68060898585456,4.27779921651955,3.91486764116886,1.12025281591471
"stac",81.7717869484917,94.2449624131706,73.1965356214593,69.7129713934248,80.0032622183922,83.5408038821616,30.9374248124633,42.2920553924891,43.6958336322185,54.5419400106243,49.914562424903,63.8544105071387
"stai",0,0,6.18562272857403,1.90994442173767,0,6.0390942565418,145.019178808422,127.859702349386,144.532372783492,149.722972578184,108.637577042436,170.278428019037
"stan",2.99165074201799,7.39176175789573,6.18562272857403,0,1.02568284895375,2.01303141884727,3.86717810155791,1.9670723438367,0,1.06944980412989,0.978716910292216,0
"stas",479.661335636884,436.113943715848,521.654183443076,566.298521045218,491.302084648845,348.254435460577,335.477700310149,311.780966498117,329.399361227493,383.93247968263,369.954992090458,383.126463042832
