file,relative_path,session,condition,series,settings_group,tmrm_gain,tmrm_offset,mtg_gain,mtg_offset,tmrm_threshold,mtg_threshold,mask_pixels,mask_fraction,tmrm_mean_in_mask,mtg_mean_in_mask,tmrm_integrated_raw,mtg_integrated_raw,tmrm_background_median,mtg_background_median,tmrm_integrated_bg_corrected,mtg_integrated_bg_corrected,tmrm_mtg_ratio_raw,tmrm_mtg_ratio_bg_corrected,tmrm_mtg_highpass_correlation,tmrm_mtg_mask_dice,mtg_enrichment_in_tmrm_mask,estimated_shift_x_px,estimated_shift_y_px,estimated_shift_magnitude_px,tmrm_saturated_fraction,mtg_saturated_fraction,qc_auto_flags,qc_include,settings_has_WR_and_CS,group_WR_mean_ratio,normalized_to_group_WR_mean,primary_analysis_include,primary_exclusion_reason
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series100.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series100.tif,7.10.26 WR,WR,Series100,757_-40 1110_-99,757,-40,1110,-99,55,19,53567,0.051085472106933594,107.77418933298486,38.20809453581496,5773140.0,2046693.0,0.0,0.0,5773140.0,2046693.0,2.8207161503948077,2.8207161503948077,0.9007307291030884,0.473855960255201,7.025913003557312,0,0,0.0,0.000335693359375,0.0,,Yes,No,2.3970346785340335,1.176752333061734,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series102.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series102.tif,7.10.26 WR,WR,Series102,757_-40 1110_-99,757,-40,1110,-99,55,17,75850,0.07233619689941406,106.53330257086354,31.292564271588663,8080551.0,2373541.0,0.0,0.0,8080551.0,2373541.0,3.4044286574362945,3.4044286574362945,0.9041870832443237,0.49935674250807444,5.799638764244761,0,0,0.0,9.822845458984375e-05,0.0,,Yes,No,2.3970346785340335,1.4202667520514798,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series104.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series104.tif,7.10.26 WR,WR,Series104,757_-40 1110_-99,757,-40,1110,-99,40,18,64897,0.061890602111816406,79.4178621507928,36.109142179145415,5153981.0,2343375.0,0.0,0.0,5153981.0,2343375.0,2.1993837947404917,2.1993837947404917,0.9016131162643433,0.49144101185831673,6.1733323559369,0,0,0.0,1.9073486328125e-06,0.0,,Yes,No,2.3970346785340335,0.9175435860133571,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series106.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series106.tif,7.10.26 WR,WR,Series106,757_-40 1110_-99,757,-40,1110,-99,49,19,79399,0.07572078704833984,96.7323014143755,35.02973589088024,7680448.0,2781326.0,0.0,0.0,7680448.0,2781326.0,2.761433934749109,2.761433934749109,0.8971478939056396,0.5322510457278354,5.839885098204745,0,0,0.0,3.0517578125e-05,0.0,,Yes,No,2.3970346785340335,1.152020852880582,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series007.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series007.tif,7.13.26 WR,WR,Series007,757_-40 1110_-99,757,-40,1110,-99,140,113,462272,0.44085693359375,195.6763399037796,141.03413574691956,90455693.0,65196132.0,85.0,71.0,51162884.0,32559269.0,1.3874395646661983,1.5713769249549183,0.9205058813095093,0.7844285011266803,1.9484657379591166,0,0,0.0,0.01853179931640625,0.0015993118286132812,TMRM_saturation,No,No,2.3970346785340335,0.5788149738053525,No,unmatched acquisition setting; TMRM_saturation
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series010.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series010.tif,7.13.26 WR,WR,Series010,757_-40 1110_-99,757,-40,1110,-99,92,81,344610,0.3286457061767578,139.62281129392647,107.89124227387481,48115417.0,37180401.0,43.0,52.0,33297368.0,19404483.0,1.294106994704011,1.7159626463637294,0.9450929164886475,0.7316020522682708,1.9937330842394076,0,0,0.0,0.00018596649169921875,1.239776611328125e-05,,Yes,No,2.3970346785340335,0.5398782947501846,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series012.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series012.tif,7.13.26 WR,WR,Series012,757_-40 1110_-99,757,-40,1110,-99,102,83,391078,0.37296104431152344,150.90769360587913,107.50248288065296,59016679.0,42041856.0,53.0,53.0,38289917.0,21493206.0,1.4037600766245906,1.7814893227190025,0.9452638626098633,0.7424851854570839,1.9499867547448317,0,0,0.0,0.00039577484130859375,8.58306884765625e-06,,Yes,No,2.3970346785340335,0.5856235995230137,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series014.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series014.tif,7.13.26 WR,WR,Series014,757_-40 1110_-99,757,-40,1110,-99,142,98,454019,0.4329862594604492,197.2630991214024,116.32959413592823,89561195.0,52815846.0,89.0,59.0,49154069.0,26501128.0,1.6957258433387585,1.8547915771736208,0.7741577625274658,0.7071951696763012,1.8780109079985423,0,0,0.0,0.018054962158203125,0.00018787384033203125,TMRM_saturation,No,No,2.3970346785340335,0.7074264959636805,No,unmatched acquisition setting; TMRM_saturation
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010.tif,864_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010.tif,7.16.26 CS,CS,Series010,864_-99 1143_-51,864,-99,1143,-51,82,63,162076,0.15456771850585938,158.55198178632247,112.81936869123128,25697471.0,18285312.0,0.0,23.0,25697471.0,14558506.0,1.4053613632624917,1.7651173135485194,0.8418012857437134,0.7136835263586739,3.703300512417846,0,0,0.0,0.001338958740234375,7.62939453125e-06,,Yes,No,nan,nan,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012.tif,864_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012.tif,7.16.26 CS,CS,Series012,864_-99 1143_-51,864,-99,1143,-51,76,73,255120,0.2433013916015625,145.66559658200063,127.64089448102854,37162207.0,32563745.0,0.0,26.0,37162207.0,25930625.0,1.1412141631744137,1.4331396562944394,0.8633769750595093,0.8625182341122396,3.825194513552288,0,0,0.0,0.0004911422729492188,0.0,,Yes,No,nan,nan,No,unmatched acquisition setting
