experiment,acquisition_date,dose_mM,genotype,well,source_sheet,source_cell,raw_absorbance,blank,corrected_absorbance,matched_control_mean,normalized_pct
2,2026-07-28,5,WT,2,7.28.26 raw,L30,0.4359999895095825,0.10319999853769939,0.3327999909718831,0.6345999936262767,52.442482558213335
2,2026-07-28,5,WT,3,7.28.26 raw,L31,0.4050000011920929,0.10319999853769939,0.3018000026543935,0.6345999936262767,47.55751744178664
2,2026-07-28,5,WT,4,7.28.26 raw,L32,0.34310001134872437,0.10319999853769939,0.23990001281102497,0.6345999936262767,37.80334308548778
2,2026-07-28,5,WT,5,7.28.26 raw,L33,0.420199990272522,0.10319999853769939,0.3169999917348226,0.6345999936262767,49.95272532598031
2,2026-07-28,5,WT,6,7.28.26 raw,L34,0.44350001215934753,0.10319999853769939,0.34030001362164813,0.6345999936262767,53.62433297187436
2,2026-07-28,5,CS,1,7.28.26 raw,M29,0.510699987411499,0.10319999853769939,0.4074999888737996,0.5807666679223379,70.16587062952654
2,2026-07-28,5,CS,2,7.28.26 raw,M30,0.4909999966621399,0.10319999853769939,0.3877999981244405,0.5807666679223379,66.77380427354319
2,2026-07-28,5,CS,3,7.28.26 raw,M31,0.49559998512268066,0.10319999853769939,0.39239998658498126,0.5807666679223379,67.56585876196571
2,2026-07-28,5,CS,4,7.28.26 raw,M32,0.41440001130104065,0.10319999853769939,0.31120001276334125,0.5807666679223379,53.58434461754544
2,2026-07-28,5,CS,5,7.28.26 raw,M33,0.43950000405311584,0.10319999853769939,0.33630000551541644,0.5807666679223379,57.90621674596304
2,2026-07-28,5,CS,6,7.28.26 raw,M34,0.42480000853538513,0.10319999853769939,0.32160000999768573,0.5807666679223379,55.3750805204081
2,2026-07-28,10,WT,1,7.28.26 raw,J29,0.3328999876976013,0.10319999853769939,0.22969998915990192,0.6345999936262767,36.19602765000576
2,2026-07-28,10,WT,2,7.28.26 raw,J30,0.4189999997615814,0.10319999853769939,0.315800001223882,0.6345999936262767,49.76363132613901
2,2026-07-28,10,WT,3,7.28.26 raw,J31,0.41040000319480896,0.10319999853769939,0.30720000465710956,0.6345999936262767,48.408447485428624
2,2026-07-28,10,WT,4,7.28.26 raw,J32,0.3846000134944916,0.10319999853769939,0.2814000149567922,0.6345999936262767,44.34289596329746
2,2026-07-28,10,WT,5,7.28.26 raw,J33,0.3959999978542328,0.10319999853769939,0.2927999993165334,0.6345999936262767,46.13930070238335
2,2026-07-28,10,WT,6,7.28.26 raw,J34,0.4009000062942505,0.10319999853769939,0.2977000077565511,0.6345999936262767,46.91144197077791
2,2026-07-28,10,CS,1,7.28.26 raw,K29,0.41780000925064087,0.10319999853769939,0.31460001071294147,0.5807666679223379,54.16977731149868
2,2026-07-28,10,CS,2,7.28.26 raw,K30,0.46720001101493835,0.10319999853769939,0.36400001247723895,0.5807666679223379,62.675775415870504
2,2026-07-28,10,CS,3,7.28.26 raw,K31,0.4359999895095825,0.10319999853769939,0.3327999909718831,0.5807666679223379,57.303562575734155
2,2026-07-28,10,CS,4,7.28.26 raw,K32,0.44929999113082886,0.10319999853769939,0.34609999259312946,0.5807666679223379,59.5936391858169
2,2026-07-28,10,CS,5,7.28.26 raw,K33,0.45419999957084656,0.10319999853769939,0.35100000103314716,0.5807666679223379,60.437352971517996
2,2026-07-28,10,CS,6,7.28.26 raw,K34,0.4652000069618225,0.10319999853769939,0.3620000084241231,0.5807666679223379,62.33140233738948
2,2026-07-28,20,WT,1,7.28.26 raw,H29,0.2782000005245209,0.10319999853769939,0.17500000198682147,0.6345999936262767,27.57642668522953
2,2026-07-28,20,WT,2,7.28.26 raw,H30,0.3269999921321869,0.10319999853769939,0.2237999935944875,0.6345999936262767,35.26630883111636
2,2026-07-28,20,WT,3,7.28.26 raw,H31,0.34689998626708984,0.10319999853769939,0.24369998772939044,0.6345999936262767,38.40214153435813
2,2026-07-28,20,WT,4,7.28.26 raw,H32,0.2856000065803528,0.10319999853769939,0.18240000804265338,0.6345999936262767,28.742516526098623
2,2026-07-28,20,WT,5,7.28.26 raw,H33,0.29510000348091125,0.10319999853769939,0.19190000494321185,0.6345999936262767,30.23952204074934
2,2026-07-28,20,WT,6,7.28.26 raw,H34,0.28839999437332153,0.10319999853769939,0.18519999583562213,0.6345999936262767,29.183737424474128
2,2026-07-28,20,CS,1,7.28.26 raw,I29,0.30059999227523804,0.10319999853769939,0.19739999373753864,0.5807666679223379,33.98955288596825
2,2026-07-28,20,CS,2,7.28.26 raw,I30,0.35530000925064087,0.10319999853769939,0.25210001071294147,0.5807666679223379,43.408140418047054
2,2026-07-28,20,CS,3,7.28.26 raw,I31,0.3716000020503998,0.10319999853769939,0.2684000035127004,0.5807666679223379,46.214774080077156
