,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
CG4962,20043.0146485656,-0.39751736346045,0.21553310789381,-1.84434478463653,0.0651329086587231,0.241569835289335,CG4962
Coq6,964.63174572056,-0.256787203559648,0.139254354992385,-1.84401560420635,0.0651808661194871,0.241655256989838,Coq6
CG13306,42.8016098927559,0.699115361063454,0.379243322107223,1.84344804591126,0.0652636206386406,0.241869572664993,CG13306
CG43335,30.0994976126874,-0.784704065129928,0.425747971884254,-1.84311873913814,0.0653116758978852,0.241955176855176,CG43335
ND-51L1,661.283212954255,0.283639521865426,0.153916767068434,1.84281106774621,0.065356600300863,0.242029121435014,ND-51L1
CG2116,262.994300835929,-0.329879718167996,0.17906815490027,-1.84220202833786,0.0654456038698688,0.242242470278239,CG2116
lncRNA:CR46043,161.327727741279,0.402202795844177,0.21834225151954,1.84207496737379,0.0654641848508496,0.242242470278239,lncRNA:CR46043
lncRNA:CR45392,7.4162257671266,1.65352443609451,0.897759587325749,1.8418343389905,0.0654993854796571,0.242280252661303,lncRNA:CR45392
CG43366,144.114407592317,1.16206301132369,0.631044860576405,1.84149033439911,0.0655497357295518,0.242374022844395,CG43366
CG15260,702.086215202296,0.301584907056409,0.163788249490694,1.84130978867043,0.0655761740806059,0.242379339577383,CG15260
CG13526,266.638896016694,0.350011279029589,0.190159176490977,1.84062260622062,0.0656768825857066,0.242659061230345,CG13526
Fbp2,9.4825637295899,1.36941385588529,0.744098926371617,1.84036531615875,0.0657146219515775,0.24270600374116,Fbp2
Prx6a,118.893793735299,-0.467899411652841,0.254365047274476,-1.83947997834761,0.0658446201160614,0.243093523238848,Prx6a
eIF4E3,1472.09285095135,0.269907412287163,0.146775127151638,1.83891792516257,0.0659272588717236,0.243305966791534,eIF4E3
Dh44,61.3875771790965,-0.553759494701849,0.301259062636824,-1.83815049364813,0.0660402324453524,0.243630157365941,Dh44
Sou,515.408683064497,-0.284021750136606,0.154600981866168,-1.8371277252461,0.0661910420812432,0.244093629888799,Sou
Ufd4,4140.88220620185,-0.235852262303304,0.128425334396288,-1.83649326989894,0.0662847365536463,0.244346205660685,Ufd4
CG9727,135.047994650869,-0.448941512418913,0.244489407160975,-1.83624115920623,0.0663219978303054,0.244390638147021,CG9727
wts,655.137570363506,-0.294329593284903,0.160341611689954,-1.83564073095408,0.066410808985197,0.244624921394941,wts
CG10920,502.369515132231,0.302717991940556,0.164975941678595,1.83492204293829,0.0665172410788163,0.244923908947635,CG10920
lncRNA:CR44943,50.1083160515639,0.625624389745084,0.341039831623565,1.83446134947556,0.0665855400525211,0.244961968828571,lncRNA:CR44943
lncRNA:CR45431,10.4440509082267,1.40699679673064,0.767010032896331,1.8343916459836,0.0665958788004986,0.244961968828571,lncRNA:CR45431
CG5217,2274.34644118434,0.246155407202223,0.134192821749004,1.83434109212365,0.0666033780125955,0.244961968828571,CG5217
clos,53.8462944827585,0.658750018201714,0.35933378215957,1.8332537905083,0.0667648378714069,0.245462686068749,clos
Bfc,3409.47211135386,0.252374274206349,0.137692874371143,1.83287824703324,0.066820679375299,0.245574862222716,Bfc
Surf6,82.8052691571411,-0.528156663688505,0.288219865313371,-1.83247835160237,0.0668801841691821,0.24565283775546,Surf6
lncRNA:CR44988,5.23603676032781,1.97876085888536,1.07987672696761,1.83239513313884,0.0668925726327399,0.24565283775546,lncRNA:CR44988
CG31525,401.996064573096,-0.322324478141175,0.175957615029249,-1.83183022847631,0.0669767181138799,0.245842186378883,CG31525
Arglu1,263.332820455977,-0.371487342386719,0.202831753357978,-1.83150486172192,0.0670252227159244,0.245842186378883,Arglu1
Orc5,68.0272574720896,0.53434743033289,0.291774281075461,1.83137262257428,0.0670449447545805,0.245842186378883,Orc5
AlaRS-m,305.001402182609,-0.316154412186658,0.172632879148923,-1.83136847247925,0.0670455637736738,0.245842186378883,AlaRS-m
Alg9,129.762177463437,-0.433509657750102,0.236800020529778,-1.83069940948585,0.0671454212827845,0.246070658163939,Alg9
CG3117,55.4496501749942,0.605485426504108,0.33075743306329,1.83060262893094,0.0671598758894818,0.246070658163939,CG3117
lncRNA:CR45306,5.75672507876495,1.92481122434037,1.05158399646182,1.83039227566854,0.0671913019188267,0.246070658163939,lncRNA:CR45306
Adar,23.250593455227,0.953523236708657,0.521010759498164,1.83014116181994,0.0672288332821626,0.246070658163939,Adar
Golgin104,224.835945827038,-0.36121313291562,0.197373289526303,-1.83010139711678,0.067234778079038,0.246070658163939,Golgin104
CG6576,544.796916130667,0.296457068612477,0.162020216696312,1.82975356197771,0.06728679764926,0.246105713145851,CG6576
GstO3,408.308618326353,-0.35603548396456,0.194603251697829,-1.82954539997819,0.0673179446096401,0.246105713145851,GstO3
obst-J,42.8302037638259,-0.676851722694819,0.36995969934247,-1.82952825374707,0.0673205107027125,0.246105713145851,obst-J
