file,condition,objects_n,image_mean_object_ratio,image_median_object_ratio,image_ratio_of_integrated_sums,image_mean_percent_of_WT,image_median_percent_of_WT,integrated_ratio_percent_of_WT
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series032.tif,CS,2852,0.6527066795884162,0.4931031202435312,1.6019456237565277,94.57976009174224,71.4525778141744,232.12820936725973
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series034.tif,CS,3392,0.6725197036646955,0.5223723723723723,1.6645623501945432,97.45074505700728,75.69380734495863,241.20161883194027
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series036.tif,CS,3405,0.6781035206753995,0.5345744680851063,1.6971744598158631,98.25986206129717,77.4619389134215,245.92724153587065
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series038.tif,CS,136,0.7060921054810242,0.5925302109832074,1.4927267995128637,102.31551786964988,85.85995356633968,216.30197299262704
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series040.tif,CS,56,0.8796582464411902,0.7762027321083125,1.3785007908321152,127.46593303379912,112.47482288928295,199.75017593721017
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series042.tif,CS,59,0.7234697939761906,0.6695383898946388,1.3519422445953526,104.83361314922979,97.01874098849066,195.90173833114432
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series044.tif,CS,73,0.3800076541799521,0.2935613421427646,0.8614035095553375,55.064600821963886,42.53819086022004,124.82074999952937
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series048.tif,CS,461,2.629321310395119,2.7817460317460316,3.441566271760072,380.99897935484387,403.08591982634425,498.69646274825135
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series054.tif,CS,1821,0.9556537150589789,0.7407407407407407,2.005615001247957,138.47797475897704,107.33624113302555,290.6214867818515
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series056.tif,CS,1907,0.9729679458197289,0.8148148148148148,2.078765849246574,140.98687476373482,118.06986524632812,301.22133181266906
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series059.tif,CS,1708,0.9956027503419437,0.8,2.1395569818320443,144.26674679259855,115.92314042366763,310.03020556169315
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series029.tif,WR,45,0.4075980434968747,0.3696415939636878,0.5666265232811815,59.06255654087548,53.56251800435113,82.1064075326237
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series031.tif,WR,130,0.5403989972420866,0.46268153115435073,0.7994881499224209,78.30593605262946,67.04437013430417,115.84897133814378
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series033.tif,WR,226,0.3258839648586231,0.24154508689754023,0.6345823918491434,47.221865775159664,35.00083128383819,91.9534796508939
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series035.tif,WR,64,0.34784672552574636,0.2832886691247366,0.5842456272361354,50.40435601129257,41.04964021422594,84.65948486001037
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series037.tif,WR,1859,1.1496503288021929,1.1367781155015197,1.6941772362703846,166.5888456298153,164.72361139229366,245.49293207844113
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series039.tif,WR,295,0.9841457087290825,0.9152478244419221,1.471379916121433,142.60657648793915,132.62300259404654,213.20872579138643
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series041.tif,WR,198,1.0752632334344678,1.0392362492002836,1.5762160026787644,155.80986350228838,150.58941206176263,228.39988627070306
