"pathway","gene","lfc_F","padj_F","lfc_M","padj_M"
"UPR (IRE1/XBP1s)","l(1)G0320",-0.706191249414901,0.000359910231090834,-0.128558733174542,0.715010650628839
"UPR (IRE1/XBP1s)","mbl",0.324260404666015,0.718628327018684,0.147835945252228,0.885488712944351
"UPR (IRE1/XBP1s)","Srp19",-0.244160553582201,0.360277998068065,-0.204022278908041,0.477389089561378
"UPR (IRE1/XBP1s)","Stt3B",0.046962121329211,0.870222798885151,-0.260453086441806,0.0678871224762565
"HSR","Gp93",-0.209193158032123,0.0723446699144324,-0.351660659682309,0.000285348857402485
"HSR","Hsc70-4",0.199320071234899,0.884388827785604,-0.664906223621867,0.471534384070366
"HSR","Hsp60A",-0.46624007531539,0.782598900898416,0.1470192503681,0.930805637111829
"HSR","Hsp60B",8.24633695388566,NA,0.264613424470678,NA
"HSR","Hsp67Ba",-0.339687050538916,0.840282469333737,1.36612996210164,0.055723540103394
"HSR","Hsp67Bc",0.295451196336208,0.626916498885387,1.04716838693171,0.00295880473651352
"HSR","Hsp70Bc",0.209546434078621,0.828373074767705,1.44131539293584,0.000171348356551547
"HSR","Hsp83",1.8422516143304,0.585986226677921,0.53443218623155,0.481793321629695
"HSR","Spn77Bb",0.571102338727261,0.910087886816593,0.721162188478667,0.731513255618007
"OSR","Gclc",-0.15012663188129,0.90362006019136,0.0664268269477306,0.957150248744068
"OSR","Gclm",0.316120361785766,0.730194373222131,0.642864396653888,0.476679798810931
"OSR","Men",0.315305204793626,0.901716889934144,-0.691385603714175,0.72283299951943
"OSR","Men-b",0.353150360033727,0.376031879423968,-0.141576666950077,0.811889479377928
"OSR","Prx1",5.99755725124299,0.0120033577879404,0.738913382221475,0.824677735837825
"OSR","Prx2",-0.234253725479322,0.85991690171411,0.323396621637391,0.803539861367523
"OSR","Prx3",-0.174678755781949,0.598368823158911,-0.207068217042057,0.490591013019056
"OSR","Sod1",-0.214941744753016,0.342067069533268,-0.463003854520005,0.00610539496638287
"OSR","Sod3",0.120265497015924,0.919588351526131,-1.29409275506456,0.0080729106333004
"OSR","Tob",-0.102705706151074,0.844989724522602,-0.154081126991983,0.706986763484242
"OSR","Trx2",-0.542988980699124,0.399358542768171,-0.248552575844557,0.795183580788521
"OSR","Trxr1",-0.464283452725397,0.265774615162106,0.307946077716063,0.548837653109294
"OSR","Trxr2",4.81143134724313,0.0448154799226139,0.296165595830368,0.926216163199207
