comparison,sex,analysis,direction,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,gene_symbols,significant_BH_0.05
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00512,Mucin type O-glycan biosynthesis,21,-0.4720796036782952,-1.3102331505754754,0.15369649805447472,0.3406939040207523,0.2750358386237968,192,"tags=33%, list=1%, signal=33%",43394/38106/39715/326151/33485/39713/39714,CG10000/CG34056/Pgant8/Pgant5/CG2983/CG7304/CG7579,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04620,Toll-like receptor signaling pathway,29,-0.43326688621990717,-1.2967091162537783,0.15076335877862596,0.3406939040207523,0.2750358386237968,3120,"tags=41%, list=23%, signal=32%",2768679/42692/32256/38831/44432/41020/34969/31746/41136/32257/34780/318725,p38c/Takl2/hep/Rac2/IKKbeta/Mkk4/cact/Traf6/RhoL/lic/p38b/Takl1,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00860,Porphyrin metabolism,43,-0.3907067715813176,-1.270079411973209,0.15225563909774437,0.3406939040207523,0.2750358386237968,2208,"tags=30%, list=16%, signal=25%",37809/53584/35307/53503/41334/53501/53506/37815/35986/34394/37420/46140/41574,CG3803/Ugt37B1/Ugt37A1/Ugt303A1/Ugt35A1/Ugt304A1/Ugt35E2/Alas/Urod/Cox10/Ugt49B1/Hmbs/Ugt37A3,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_CS,dme04814,Motor proteins,94,0.300728675199564,1.1673150911177317,0.16666666666666666,0.36338797814207646,0.2933563416738567,1957,"tags=22%, list=14%, signal=19%",35438/26067054/326131/2768886/35293/37274/37674/35166/38851/32785/3355181/37904/41440/42159/41124/38226/32057/33411/43517/34944/35073,CG10834/kl-5/CG31275/Sdic4/neb/CG10822/Klp59D/robl37BC/mmm/Dhc16F/kl-2/CG16837/Dnali1/CG7794/betaTub85D/Dhc62B/Dlic/CG17237/ncd/CG10839/btv,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme01230,Biosynthesis of amino acids,62,-0.3363520902885706,-1.1904636363611505,0.17045454545454544,0.36565249266862165,0.2951844420435252,1091,"tags=19%, list=8%, signal=18%",42689/42621/43102/46717/42284/37804/41274/40443/34554/39085/41269/42783,Irp-1A/CG7069/Idh3g/arg/P5cr/Taldo/CG6465/P5CS/CG6287/aay/Irp-1B/CG10184,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme01250,Biosynthesis of nucleotide sugars,29,-0.42435913066715203,-1.2700494101973245,0.17557251908396945,0.3706530958439355,0.29922133578220356,2537,"tags=34%, list=19%, signal=28%",41192/37638/36730/39434/43373/39436/38911/45875/33716/44008,Mpi/Gmer/Gmppa/nst/Gfat2/Pmm2/Uxs/Hex-A/Gmd/Hex-C,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00500,Starch and sucrose metabolism,27,-0.42933564356053183,-1.2550961685408608,0.1791907514450867,0.3723807803468208,0.30061606327958623,1571,"tags=26%, list=12%, signal=23%",35826/33642/326264/45875/35825/44008/36932,Mal-A3/Tps1/AGBE/Hex-A/Mal-A2/Hex-C/Amy-d,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04130,SNARE interactions in vesicular transport,17,-0.4722648322555524,-1.2441058047879194,0.18473895582329317,0.37800432499227676,0.3051558460562899,1644,"tags=35%, list=12%, signal=31%",38085/38196/39847/248102/42854/31706,Vti1a/nSyb/Syx8/Gos28/Syx1A/Ykt6,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04214,Apoptosis - fly,55,-0.3502968062996378,-1.2088592447840087,0.18773234200743494,0.37830911343922496,0.3054018960886501,1856,"tags=22%, list=14%, signal=19%",40009/37729/41140/45827/43651/31746/35528/36251/42008/53585/43514/318725,hid/Dcp-1/Ras85D/bic/wts/Traf6/Strica/Buffy/Decay/Debcl/Drice/Takl1,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04519,Cadherin signaling,111,-0.293488809802326,-1.1430647772573275,0.19886363636363635,0.39475915875169604,0.31868171106191534,3631,"tags=38%, list=27%, signal=28%",40517/44861/32351/2768679/40462/37363/31201/42634/43769/49780/251430/38898/37991/38831/44432/31166/34772/246497/43528/41917/44289/34969/48632/32948/32623/38153/41140/43651/41136/41062/33864/32257/32221/42186/41861/42922/31248/49260/34780/35526/38494/37368,alpha-Cat/sdt/jub/p38c/Hem/Cib2/Vinc/mats/pan/PpD6/pen-2/Arp3/CG3770/Rac2/IKKbeta/Actn/kuz/HSPC300/Cad99C/Arpc3A/flw/cact/Act87E/Tao/Arp2/Myo61F/Ras85D/wts/RhoL/pyd/Arpc4/lic/CkIalpha/14-3-3epsilon/Cyfip/Pp1alpha-96A/sgg/Pp1-87B/p38b/Act42A/Ras64B/Act57B,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04981,Folate transport and metabolism,15,-0.47368263887392936,-1.2102081939285965,0.226,0.4321428571428571,0.348860873989485,694,"tags=27%, list=5%, signal=25%",32212/246553/41387/246552,Fpgs1/CG30345/Mrp4/CG30344,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04213,Longevity regulating pathway - multiple species,43,-0.36416135041972114,-1.1837876060670895,0.2274436090225564,0.4321428571428571,0.348860873989485,2136,"tags=28%, list=16%, signal=24%",35419/42852/41840/38565/34708/44920/41140/48581/39251/36232/38654/40048,Ac3/Hsp68/Hsc70-4/HDAC1/Sirt1/Hsp70Ab/Ras85D/Hsp70Aa/Sod1/Sod3/S6k/Cat,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04082,Neuroactive ligand signaling,55,-0.34091663105255204,-1.1764886625771178,0.22304832713754646,0.4321428571428571,0.348860873989485,3033,"tags=44%, list=22%, signal=34%",41017/36006/42249/37805/34284/31107/41625/40575/43669/35419/42795/41726/36574/31744/33650/31457/38742/48311/36384/34863/38765/37772/42245/36104,5-HT2B/CG1698/ChAT/Galphas/Pka-C1/Nmdar2/Ace/5-HT2A/5-HT7/Ac3/VAChT/Dop1R1/VGAT/Gbeta5/MFS18/NAAT1/GluRIA/Pkc53E/Galphaq/CG15279/Galphai/GlyT/ChT/Galphao,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00514,Other types of O-glycan biosynthesis,32,-0.38657053061532853,-1.167358883075958,0.2466281310211946,0.45036170540249343,0.3635686106138056,2785,"tags=34%, list=20%, signal=27%",40314/43394/37833/31098/38106/39715/326151/36564/33485/39713/39714,fng/CG10000/Xxylt/O-fut2/CG34056/Pgant8/Pgant5/O-fut1/CG2983/CG7304/CG7579,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00052,Galactose metabolism,30,-0.3852098133272261,-1.1635462110380759,0.24719101123595505,0.45036170540249343,0.3635686106138056,1571,"tags=23%, list=12%, signal=21%",35826/45875/35825/35586/38463/44008/38697,Mal-A3/Hex-A/Mal-A2/CG9436/CG10863/Hex-C/CG10467,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme01200,Carbon metabolism,104,-0.29260608531180266,-1.1235745552678766,0.24577861163227016,0.45036170540249343,0.3635686106138056,2024,"tags=21%, list=15%, signal=18%",42689/32974/42621/42185/30995/37028/43936/43102/37446/45875/37804/3771779/34474/34554/39988/41311/31641/44008/39085/31587/41269/40048,Irp-1A/Zw/CG7069/Mdh2/CG17896/ACOX1/Men-b/Idh3g/Acox57D-d/Hex-A/Taldo/Hao/CG6415/CG6287/CG7430/Fdh/CG4586/Hex-C/aay/Agxt/Irp-1B/Cat,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme03020,RNA polymerase,26,-0.4005858038251649,-1.1476327526471697,0.2638888888888889,0.4742867867867868,0.38288288288288286,4368,"tags=54%, list=32%, signal=37%",36617/34796/48312/40002/33210/36289/42201/32524/42563/261631/39310/40415/32100/33963,Polr1A/Polr2C/Polr2F/Polr3D/Polr1B/Polr3B/Polr1E/Polr3A/Polr1H/Polr2G/Polr3H/Polr2H/Polr2A/Polr1F,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04330,Notch signaling pathway,21,-0.4184872959902135,-1.161490401255984,0.27626459143968873,0.4899092088197147,0.39549457300839647,2876,"tags=38%, list=21%, signal=30%",43856/251430/40314/39431/43162/34881/38565/31293,nej/pen-2/fng/Gcn5/gro/Su(H)/HDAC1/N,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00790,Folate biosynthesis,28,-0.37894932597076186,-1.1236640373076736,0.302504816955684,0.529383429672447,0.4273613757545674,4041,"tags=54%, list=30%, signal=38%",317887/37538/35292/43671/35218/38746/32212/43499/41135/37415/31781/38121/41236/35586/38463,l(3)72Dp/Alp7/pr/Alp4/Alp12/ple/Fpgs1/Pcd/phu/Pu/Sptr/Trhn/Alp13/CG9436/CG10863,FALSE
