"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","direction"
"CG43218",6008.57758744641,1.67008448679807,0.243478458143031,6.85927001318933,6.92133090131785e-12,1.51780715294782e-09,"CG43218","up"
"CG12224",136.304447563764,1.54426226022315,0.240864760576482,6.41132499634709,1.44260293287127e-10,2.98779096319116e-08,"CG12224","up"
"rst",65.6319159369293,6.2966065210635,0.992372631937402,6.3450021881102,2.22422285102807e-10,4.48210961547711e-08,"rst","up"
"Adk3",1751.23893307126,1.14145182729254,0.180355214390004,6.32890948649945,2.46899879454592e-10,4.84443552950904e-08,"Adk3","up"
"lncRNA:CR44922",430.171533467017,1.32973144459243,0.21137281991121,6.29092919870683,3.15571251734018e-10,6.03307500750983e-08,"lncRNA:CR44922","up"
"DNAlig3",481.901855991471,0.992042512486254,0.159074140461288,6.23635312194362,4.47889446910224e-10,8.34865929040657e-08,"DNAlig3","up"
"CG14893",116.401706560682,2.3023744229898,0.388322389629987,5.92902826227356,3.04732640008862e-09,5.29212429383357e-07,"CG14893","up"
"Cyp28a5",434.928170587044,1.16089504601816,0.196482204012087,5.90839792262682,3.45450762452188e-09,5.72373529965225e-07,"Cyp28a5","up"
"ImpL2",897.934924194773,0.948456418174197,0.163715812558672,5.79330978083925,6.90126417228067e-09,1.09480480145797e-06,"ImpL2","up"
"ND2",42045.1632810092,1.94487410705515,0.337681638300992,5.75949026082844,8.43683269317204e-09,1.31052134500606e-06,"ND2","up"
"CG9577",745.606996306936,0.892030455706982,0.159269873233981,5.6007481992311,2.13428574351845e-08,3.18264690073472e-06,"CG9577","up"
"lncRNA:CR44779",70.6461231549436,1.64903493518286,0.306130895297624,5.38669882887726,7.17635341771127e-08,1.04915472710697e-05,"lncRNA:CR44779","up"
"ND4L",3471.31977526907,4.36097714380546,0.820838563965771,5.31283170071345,1.07934714209579e-07,1.46320223481204e-05,"ND4L","up"
"lncRNA:CR44580",12.933357980086,7.14248482333212,1.38195416868625,5.16839486082385,2.36113053411824e-07,3.08852443199747e-05,"lncRNA:CR44580","up"
"CG8671",22.2652832281422,3.09806839803394,0.630986133567985,4.90988348747943,9.11305219040183e-07,9.99219369582883e-05,"CG8671","up"
"CG15387",580.720854821407,-3.92955532407496,0.197246288625708,-19.9220748408181,2.61910203740344e-88,1.95280247908801e-84,"CG15387","down"
"Tina-1",235.139510324863,-3.5403113691072,0.239476291933386,-14.7835568211153,1.87023142876547e-49,4.64814851095845e-46,"Tina-1","down"
"LysP",1001.25972032567,-1.77949632246461,0.173799143502108,-10.2388095050826,1.32861091390925e-24,1.65102049568456e-21,"LysP","down"
"TotZ",281.332104373668,-4.11554171353569,0.401916665745383,-10.2397886534591,1.31523360212738e-24,1.65102049568456e-21,"TotZ","down"
"beat-IIIc",386.162716728053,-1.96780479148765,0.195224791883454,-10.0796869726586,6.79422247476658e-24,7.23681753883709e-21,"beat-IIIc","down"
"LysX",210.535509171295,-7.73670411881129,0.826752398815651,-9.35794577662474,8.13019518968958e-21,7.57734191679069e-18,"LysX","down"
"asRNA:CR44114",195.323313361387,-11.0771908551534,1.1989335880827,-9.2392030428205,2.48339979911007e-20,2.05735876690719e-17,"asRNA:CR44114","down"
"AttD",218.30847978888,-2.81540388149794,0.310325399615609,-9.07242489652892,1.16397207327203e-19,7.88961434392385e-17,"AttD","down"
"Vha16-1",67.2824337005183,-3.28974000135062,0.378105503679636,-8.70058745333149,3.30170495260491e-18,1.89365477897094e-15,"Vha16-1","down"
"sau",126.926779872288,-10.4554021278639,1.2173479792609,-8.58867169123804,8.79805244856954e-18,4.68559136118103e-15,"sau","down"
"Paip2",973.797713840745,-1.82723177124639,0.216263054455076,-8.44911663645236,2.9351513002851e-17,1.45896587299505e-14,"Paip2","down"
"Bin1",140.279638790055,-2.38409987427878,0.303445114496639,-7.85677462045673,3.94151138324088e-15,1.4693954436722e-12,"Bin1","down"
"Bap170",268.81342509237,-1.45764401282217,0.188654697277278,-7.72651852224904,1.10527723640641e-14,3.92426051173629e-12,"Bap170","down"
"Cyp304a1",1080.68212674266,-1.34925145115446,0.180199571713388,-7.48753972235004,7.01766289991811e-14,2.2749432426865e-11,"Cyp304a1","down"
"CG33919",54.0202141994853,-6.76827435989037,0.9069528318995,-7.46265309709112,8.47973947469493e-14,2.63437239680522e-11,"CG33919","down"
"TotA",854.650855136805,-3.09071285805418,0.435791878298047,-7.09217636208532,1.32019115721644e-12,3.39425698903648e-10,"TotA","down"
"LysD",944.163445363983,-2.35159525734184,0.339908835131152,-6.91831165975574,4.57057912343487e-12,1.06494493576033e-09,"LysD","down"
"CG17560",136.438018228599,-3.0387202578878,0.4407832743461,-6.89391007949593,5.42793420611305e-12,1.22638416487209e-09,"CG17560","down"
"CG12780",276.574394678271,-1.5879306840298,0.246269362323502,-6.44794248479791,1.13378771940373e-10,2.41529178167834e-08,"CG12780","down"
"LysE",231.886967177884,-2.79118226300149,0.451322531588839,-6.18445140147422,6.23188076250715e-10,1.13329031622569e-07,"LysE","down"
"Nazo",51.2195162648985,-3.65808169470181,0.617004794193483,-5.92877353486931,3.05205666087505e-09,5.29212429383357e-07,"Nazo","down"
"tobi",195.356759210386,-3.58245549386361,0.605779111803372,-5.91379832031321,3.34307191548333e-09,5.66498731860084e-07,"tobi","down"
"DptA",77.728858849747,-3.19910986948986,0.550648836052241,-5.80970967345576,6.25812724029231e-09,1.01436079790477e-06,"DptA","down"
"CG43336",108.837582634346,-1.73020313166643,0.302275663291474,-5.72392468790337,1.04090907433769e-08,1.58388123637996e-06,"CG43336","down"
"Arc1",5603.4267006102,-1.06770383126722,0.199525250769645,-5.35122159801165,8.73624618550186e-08,1.22900851998305e-05,"Arc1","down"
"mat",146.273701147111,-1.86923281133784,0.349262988827496,-5.35193499206146,8.70186623683791e-08,1.22900851998305e-05,"mat","down"
"CG14292",7178.91797970953,-0.636442194254065,0.119169904746397,-5.34062853879481,9.26248751602412e-08,1.2789093873977e-05,"CG14292","down"
"CG30008",474.81408495203,-1.15805249379861,0.221746177191335,-5.22242371195145,1.76596318377902e-07,2.35125383897436e-05,"CG30008","down"
"CG14499",25.2932997033064,-8.12885338913105,1.57540455347762,-5.15985139892292,2.47145931347455e-07,3.14297302182355e-05,"CG14499","down"
"TotX",234.399977050138,-1.87817748609176,0.364081518450027,-5.15867296447115,2.48706287939363e-07,3.14297302182355e-05,"TotX","down"
