"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"sau",-1.14620328264674,-1.15767012449603,-1.1359657184205,-0.510459500908783,-0.709376315470188,-0.980663618055908,0.950869424869579,0.838097722821517,1.00074178719494,0.974255911997352,0.859108746464813,1.01726496664994
"Paip2",-1.01448036072987,-0.66158047071301,-0.906118344160805,-1.00455367142176,-0.84859339638541,-1.10270974885923,1.30568107351707,1.30401151249124,0.64949813023229,1.06335966027813,0.4201935027942,0.795292112957165
"Bin1",-1.16170040586934,-1.2465223366649,-1.36316191349462,-0.337373828887591,-0.29037624230768,-0.352194204560386,0.445716405656334,-0.0143018005166612,0.249386652157228,1.16010579047644,1.6476414930484,1.26278039096277
"Bap170",-1.30389737077067,-1.42999404583046,-1.36735720108325,-0.252644800790742,-0.622743924165128,0.128364337139068,0.379561617687643,0.629467860496112,0.317037010007523,1.37884513602344,0.873989040253244,1.26937234103323
"Cyp304a1",-0.263560167150863,0.106548424548215,-0.251398491520688,-0.990903664766774,-1.2867818874562,-1.59523590595553,1.1911769256485,1.29820155592013,1.56425656271412,0.252795258128109,-0.183075286892619,0.157976676783624
"CG33919",-0.896149516892276,-0.914654880346395,-0.879692929764043,-0.905711625026274,-1.17945458958991,-0.94936258447673,0.955973600551822,0.966101094778001,0.862758005456342,0.968858730316001,0.999652048500624,0.97168264649284
"TotA",-0.682583423660406,-0.524081221321413,-0.333398569830098,0.00480236341823743,0.225092331107734,-0.27681768618914,0.622942370933316,2.00484002763211,1.33069717185201,-1.52830482899293,-1.18039321485784,0.337204679908423
"LysD",0.122208547424498,-0.0100656710747875,-0.464738594773185,-1.11196779461016,-1.29839590814666,-1.63333193338915,1.34112301778571,1.53805572772355,0.892784246570845,0.117971671684258,0.0588869010013103,0.447469789803791
"CG17560",-1.18894887848898,-0.771335259891013,-0.431349692750738,-1.16982502952226,-1.34911728764439,-0.475429325290022,0.605663133031214,1.12570911949955,1.35028987659946,0.936271830038481,0.929995558395362,0.438075956023328
"CG12780",-1.25544242713887,-1.4531071699424,-1.28184965863449,0.31143119553786,1.14490618888444,-1.09663562627825,0.676548601075152,-0.0477471404980031,0.572177002734978,0.540237125432517,1.25657795883118,0.632903949995895
"LysE",0.170975984690568,-0.284719432530728,-0.577629111157152,-1.12133579211469,-1.07729185320901,-1.15004961341821,1.75544488900482,1.64125214380914,0.863587243007798,-0.165181115555386,-0.39194561833964,0.336892275812491
"Nazo",-0.325041087444889,-0.745210105412717,-1.02719576458413,-0.135934228074581,0.35114914273724,-0.92409743832269,1.73726920855734,1.07742739899434,0.895386492724617,-1.72373611155068,0.412840854715246,0.407141637660905
"tobi",-0.508933532363499,-0.668638058247243,-0.157487628873055,-0.992826251544183,-0.988224749135559,-1.04423602146407,2.17219951149365,1.18589846693904,0.628791730138563,-0.16181051353962,-0.245573786168124,0.78084083276409
"DptA",-1.12250024744078,-0.971285896943531,-1.40407087424814,0.729367268105072,0.189630917472225,0.478625926548547,-0.058357784462073,0.526603773225574,1.02550623646716,-0.859862651079328,-0.467106892712942,1.93345022506821
"CG43336",-0.638120746172862,-0.881290352431407,-1.01304110983437,-0.600802970687711,-0.619379505170919,-0.863077065070293,0.927221740428378,1.66974583260011,1.64998998828495,-0.311696164546538,-0.208163660893724,0.888614013494401
"Arc1",-0.926845292469594,-1.42731203568226,-0.922800269955698,-0.686098210478846,-0.374202523959146,-0.848704213483065,0.297668213461279,0.987903569512283,0.16460252443227,1.34085764324586,0.911352228909037,1.48357836646788
"mat",-1.51880387250636,-1.07227604216434,-0.905009280311159,1.15231725381275,1.66922573473591,0.800579791515198,0.890497614884089,0.249085152471864,0.110609176655806,-0.720217333975033,0.101058421103608,-0.757066616222327
"CG14292",0.169303769832526,0.0438629707668962,0.119492235951314,-1.20861797182314,-1.22620348644904,-1.48934412575194,1.44113438776357,1.28996124839109,1.03451237489649,0.368784787681189,-0.853768792402203,0.310882601143189
"CG30008",-0.517508998012644,-0.507978046568893,-0.669988747753268,-1.07205137212789,-1.28131231228904,-1.34189715993712,0.289306658883287,0.789720060229382,1.01350637539998,1.11294205854421,1.28320783137986,0.902053652252132
"CG14499",-0.603404240941857,-0.621828315349087,-0.587125774688273,-0.612908222376358,-0.610849044703561,-0.649512640741261,2.17135367180593,1.59174516162501,0.683310292966621,-0.603461332820289,-0.645216832115947,0.487897277339074
"TotX",0.338667263221901,0.122766579125126,-0.160246582400865,-0.625318605957913,-0.78597027308774,-0.713627901255838,0.848429698824882,1.66590039807376,1.45896237797041,-1.15326381996693,-1.46679933432996,0.470500199783166
