"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Bap170",268.81342509237,-1.45764401282217,0.188654697277278,-7.72651852224904,1.10527723640641e-14,3.92426051173629e-12,"Bap170"
"lncRNA:CR46123",59.3383998261993,9.34056919434193,1.22831232030575,7.60439266131997,2.86244931274066e-14,9.70110094354288e-12,"lncRNA:CR46123"
"Cyp304a1",1080.68212674266,-1.34925145115446,0.180199571713388,-7.48753972235004,7.01766289991811e-14,2.2749432426865e-11,"Cyp304a1"
"CG33919",54.0202141994853,-6.76827435989037,0.9069528318995,-7.46265309709112,8.47973947469493e-14,2.63437239680522e-11,"CG33919"
"CG11893",129.120664505812,2.6082538813065,0.358352333603676,7.2784621076059,3.37647039414751e-13,1.00699853035055e-10,"CG11893"
"Drsl5",686.446044875898,1.642855333533,0.230353482202674,7.1318884256655,9.90011146534199e-13,2.79480652518119e-10,"Drsl5"
"lncRNA:CR45148",48.817522033627,9.05879376414856,1.27146510562574,7.12468924555372,1.04315771903511e-12,2.79480652518119e-10,"lncRNA:CR45148"
"CG46397",55.3410322692566,3.18415694280611,0.446971520697182,7.12384748325685,1.04955180666676e-12,2.79480652518119e-10,"CG46397"
"TotA",854.650855136805,-3.09071285805418,0.435791878298047,-7.09217636208532,1.32019115721644e-12,3.39425698903648e-10,"TotA"
"CG10962",2076.09196262305,1.18219170872228,0.167875906693622,7.04205702894468,1.89422262720642e-12,4.70777463615036e-10,"CG10962"
"t",44.1542280686848,6.45709258761606,0.92694091436325,6.966023926187,3.26023721725374e-12,7.84139635220771e-10,"t"
"LysD",944.163445363983,-2.35159525734184,0.339908835131152,-6.91831165975574,4.57057912343487e-12,1.06494493576033e-09,"LysD"
"CG17560",136.438018228599,-3.0387202578878,0.4407832743461,-6.89391007949593,5.42793420611305e-12,1.22638416487209e-09,"CG17560"
"CG43218",6008.57758744641,1.67008448679807,0.243478458143031,6.85927001318933,6.92133090131785e-12,1.51780715294782e-09,"CG43218"
"CG12780",276.574394678271,-1.5879306840298,0.246269362323502,-6.44794248479791,1.13378771940373e-10,2.41529178167834e-08,"CG12780"
"CG12224",136.304447563764,1.54426226022315,0.240864760576482,6.41132499634709,1.44260293287127e-10,2.98779096319116e-08,"CG12224"
"rst",65.6319159369293,6.2966065210635,0.992372631937402,6.3450021881102,2.22422285102807e-10,4.48210961547711e-08,"rst"
"Adk3",1751.23893307126,1.14145182729254,0.180355214390004,6.32890948649945,2.46899879454592e-10,4.84443552950904e-08,"Adk3"
"lncRNA:CR44922",430.171533467017,1.32973144459243,0.21137281991121,6.29092919870683,3.15571251734018e-10,6.03307500750983e-08,"lncRNA:CR44922"
"DNAlig3",481.901855991471,0.992042512486254,0.159074140461288,6.23635312194362,4.47889446910224e-10,8.34865929040657e-08,"DNAlig3"
"LysE",231.886967177884,-2.79118226300149,0.451322531588839,-6.18445140147422,6.23188076250715e-10,1.13329031622569e-07,"LysE"
"CG14893",116.401706560682,2.3023744229898,0.388322389629987,5.92902826227356,3.04732640008862e-09,5.29212429383357e-07,"CG14893"
"Nazo",51.2195162648985,-3.65808169470181,0.617004794193483,-5.92877353486931,3.05205666087505e-09,5.29212429383357e-07,"Nazo"
"tobi",195.356759210386,-3.58245549386361,0.605779111803372,-5.91379832031321,3.34307191548333e-09,5.66498731860084e-07,"tobi"
"Cyp28a5",434.928170587044,1.16089504601816,0.196482204012087,5.90839792262682,3.45450762452188e-09,5.72373529965225e-07,"Cyp28a5"
"DptA",77.728858849747,-3.19910986948986,0.550648836052241,-5.80970967345576,6.25812724029231e-09,1.01436079790477e-06,"DptA"
"ImpL2",897.934924194773,0.948456418174197,0.163715812558672,5.79330978083925,6.90126417228067e-09,1.09480480145797e-06,"ImpL2"
"ND2",42045.1632810092,1.94487410705515,0.337681638300992,5.75949026082844,8.43683269317204e-09,1.31052134500606e-06,"ND2"
"CG43336",108.837582634346,-1.73020313166643,0.302275663291474,-5.72392468790337,1.04090907433769e-08,1.58388123637996e-06,"CG43336"
"CG9577",745.606996306936,0.892030455706982,0.159269873233981,5.6007481992311,2.13428574351845e-08,3.18264690073472e-06,"CG9577"
"lncRNA:CR44779",70.6461231549436,1.64903493518286,0.306130895297624,5.38669882887726,7.17635341771127e-08,1.04915472710697e-05,"lncRNA:CR44779"
"mat",146.273701147111,-1.86923281133784,0.349262988827496,-5.35193499206146,8.70186623683791e-08,1.22900851998305e-05,"mat"
"Arc1",5603.4267006102,-1.06770383126722,0.199525250769645,-5.35122159801165,8.73624618550186e-08,1.22900851998305e-05,"Arc1"
"CG14292",7178.91797970953,-0.636442194254065,0.119169904746397,-5.34062853879481,9.26248751602412e-08,1.2789093873977e-05,"CG14292"
"ND4L",3471.31977526907,4.36097714380546,0.820838563965771,5.31283170071345,1.07934714209579e-07,1.46320223481204e-05,"ND4L"
"CG30008",474.81408495203,-1.15805249379861,0.221746177191335,-5.22242371195145,1.76596318377902e-07,2.35125383897436e-05,"CG30008"
"lncRNA:CR44580",12.933357980086,7.14248482333212,1.38195416868625,5.16839486082385,2.36113053411824e-07,3.08852443199747e-05,"lncRNA:CR44580"
"CG14499",25.2932997033064,-8.12885338913105,1.57540455347762,-5.15985139892292,2.47145931347455e-07,3.14297302182355e-05,"CG14499"
"TotX",234.399977050138,-1.87817748609176,0.364081518450027,-5.15867296447115,2.48706287939363e-07,3.14297302182355e-05,"TotX"
"Sting",24.7348593906143,-3.30859460105244,0.644827832283326,-5.13097362645895,2.88247299744433e-07,3.58195311149082e-05,"Sting"
"CG44475",20.9612887708543,-5.96725067128274,1.16753532939422,-5.11098081663949,3.20490530240575e-07,3.91733998930119e-05,"CG44475"
"Drs",1859.94480950345,-1.29898839534279,0.254602491098561,-5.10202547405528,3.36037505502533e-07,4.04112200165627e-05,"Drs"
"CG13326",917.489356621556,-7.47604747337361,1.48152575727969,-5.04618123352832,4.50727889707145e-07,5.33432880262932e-05,"CG13326"
"Spn88Eb",767.436685163076,-1.13236491416002,0.226511526326793,-4.99914919352197,5.75838353249548e-07,6.70851681535723e-05,"Spn88Eb"
"CG32437",356.889906824366,-1.66278810961921,0.336525643484312,-4.94104429131484,7.77052524940235e-07,8.91339019377599e-05,"CG32437"
"Hsp70Ab",162.903374963427,-1.19203069702176,0.24267405055619,-4.91206494592118,9.01221888955108e-07,9.99219369582883e-05,"Hsp70Ab"
"Mdr65",724.20465309602,0.786878635897797,0.160253969806227,4.91019746249817,9.09847272869638e-07,9.99219369582883e-05,"Mdr65"
"CG8671",22.2652832281422,3.09806839803394,0.630986133567985,4.90988348747943,9.11305219040183e-07,9.99219369582883e-05,"CG8671"
"CG9346",348.861300056573,0.77803038429695,0.159158594866987,4.88839691596406,1.01660406122448e-06,0.00010985217218101,"CG9346"
"NimC4",1235.41657325225,-1.39022800828715,0.287702220389534,-4.83217684731406,1.35048208335514e-06,0.000143845634478514,"NimC4"
"mthl8",156.2860530702,-1.09493991991961,0.226888474429432,-4.8258948484409,1.39376034710553e-06,0.000146364466873504,"mthl8"
"CG3868",565.761002604379,0.828525066156901,0.172672055022597,4.79825798128408,1.6005154735568e-06,0.000165742269039437,"CG3868"
"Srg2",68.0024366991194,-1.95684192782583,0.40992561965004,-4.77365120408044,1.80915604021116e-06,0.00018319117370523,"Srg2"
"jtb",141.486774467166,-1.24951857859033,0.26180799016965,-4.77265257557896,1.81815274331907e-06,0.00018319117370523,"jtb"
"CG7173",28.4414912854879,2.48236782885061,0.524629605875525,4.73165791836684,2.22693471343129e-06,0.000221387002977916,"CG7173"
"Rdh1",344.411306458197,-1.04898531160609,0.222839028574475,-4.70736799705402,2.50935669488261e-06,0.000246181098908483,"Rdh1"
"CG15213",699.450740487486,-0.822993461812237,0.175974939390719,-4.67676513861407,2.91435714690711e-06,0.000282200608926486,"CG15213"
"Tep1",55.5749406721146,-2.62618056390918,0.571321834973415,-4.59667459415652,4.29287266488292e-06,0.000410354597299577,"Tep1"
"mRpS33",573.664629906358,-0.829054187795027,0.18069439910251,-4.58815653342246,4.47177289701268e-06,0.000422044793925652,"mRpS33"
"CG42680",14.9545675484238,-4.88355674550944,1.06718957214138,-4.57609113974971,4.73744221999512e-06,0.000441529614903545,"CG42680"
"CG12868",215.508321157958,-0.840597032387514,0.184962720286167,-4.5446835507554,5.5017846581746e-06,0.000506435881621602,"CG12868"
"IntS12",55.0268038770008,1.67922199051071,0.376050945826867,4.4654108948414,7.99152278360083e-06,0.000726643827738144,"IntS12"
"Bcat",1072.20054259994,0.618083099309402,0.138669795141879,4.45722948301046,8.30257093966487e-06,0.000745830950917365,"Bcat"
"edin",26.8724164934086,-2.47873831084065,0.562239898367143,-4.40868447443769,1.04000412903178e-05,0.000923127474531064,"edin"
"unc-13",708.124142229341,0.783414382375014,0.179821298399373,4.35662732584154,1.32081872426607e-05,0.00115859110683856,"unc-13"
"PPO1",39.4000047347125,-2.42826101488189,0.557855214755556,-4.352851691,1.34378059917098e-05,0.00116502652876963,"PPO1"
"Acsx1R",72.7470379265879,-1.47853033981224,0.339973979669584,-4.34895147343101,1.36789973459282e-05,0.0011723057955315,"Acsx1R"
"grau",460.26327222133,0.730956553548525,0.168253607312572,4.34437374166127,1.39673547063437e-05,0.00118341587148294,"grau"
"l(1)G0320",599.025746193863,-0.703681010547789,0.162260734803608,-4.33673008691528,1.44618032230021e-05,0.00121154162731128,"l(1)G0320"
"eIF4E3",59.0619077147892,2.029005338812,0.468859329027423,4.3275353889638,1.50787123742825e-05,0.001249187549585,"eIF4E3"
"CG10469",114.691191924455,-1.08321656823605,0.25119380795289,-4.31227416417526,1.6158389412427e-05,0.00132392254350611,"CG10469"
"Uev1A",98.6180284204362,-1.20969856735294,0.281905833355628,-4.29114414892893,1.7775487535714e-05,0.00144058733767699,"Uev1A"
"Ugt303B3",301.7694364348,0.742172126426782,0.173290485659954,4.28282097312103,1.8453864763746e-05,0.00147948403955366,"Ugt303B3"
"Acbp5",472.299453413827,-1.09584030178271,0.256537574172558,-4.27165613192244,1.9402660823108e-05,0.0015390025435861,"Acbp5"
"CG42763",331.206737635375,-0.997330811681003,0.2342069481621,-4.25833144365439,2.0595842791779e-05,0.00161644846163689,"CG42763"
"ND6",2010.25662403117,1.35519343284636,0.319569561035748,4.24068371359926,2.2283995924799e-05,0.00173072368349273,"ND6"
"PGRP-SC2",73.7734097926157,-1.64397126930975,0.391213371237691,-4.20223691257965,2.64290321401321e-05,0.00203149343955489,"PGRP-SC2"
"lncRNA:CR44138",818.240714119872,1.04125078797736,0.247997866410715,4.19862800856892,2.68537036438211e-05,0.00204307361600337,"lncRNA:CR44138"
"Takl1",402.234892549363,-0.879302198451567,0.210949126530686,-4.16831400495824,3.06861011217281e-05,0.00231106636326874,"Takl1"
"TotC",31.8781126726076,-3.33966334399505,0.804455763964024,-4.15145679053697,3.30365643484e-05,0.0024632062378167,"TotC"
"Mtk",22.6028130230903,-2.56698772260927,0.61979495944554,-4.14167247327352,3.44782459660206e-05,0.00254524556359059,"Mtk"
"mRpL51",419.44723850965,-0.776695923669796,0.187949701677787,-4.13246691394769,3.58890440747397e-05,0.00262341875118882,"mRpL51"
"vrs",79.8464202156229,2.54890524785817,0.628341909207702,4.05655776020443,4.98012507892403e-05,0.00360503034839394,"vrs"
"CG14757",1136.10602515199,-0.776462276754277,0.1926680835548,-4.03005138385274,5.57646614375039e-05,0.00396865738164031,"CG14757"
"mEFTu2",936.288002481494,0.552492063015346,0.137110881563716,4.02952746502911,5.58890859807179e-05,0.00396865738164031,"mEFTu2"
"ort",101.729152557768,1.28423158649456,0.319880461713629,4.01472343642002,5.95155399128955e-05,0.00418630061877876,"ort"
"C1GalTA",25.8073236338697,2.69603967948647,0.67337923576853,4.00374638283801,6.23472035075718e-05,0.00431593123334371,"C1GalTA"
"CG43060",67.4629854472682,1.27456041909574,0.318392841605557,4.0031063910499,6.25161712984336e-05,0.00431593123334371,"CG43060"
"knon",17.8124087124939,7.60321371078838,1.90039781056936,4.00085375204176,6.31143577845652e-05,0.0043172536847864,"knon"
"CG43124",50.4691215095903,1.44583027550013,0.362810349900972,3.98508552993256,6.7455823937492e-05,0.00457227839343582,"CG43124"
"Tim23",2131.61920786846,-0.438821263392215,0.110678361201697,-3.96483340219071,7.34472252194887e-05,0.00493353613726583,"Tim23"
"CG10799",529.842815052677,-0.7270157814878,0.184064100815911,-3.94979671899689,7.82175937030998e-05,0.00520705695223493,"CG10799"
"IBIN",43.0930049648367,-1.67713679556834,0.426893129357811,-3.92870411873647,8.54048419228662e-05,0.00555046649279868,"IBIN"
"mRpS18C",485.975984028386,-0.866223745963754,0.220491245622971,-3.9286083377884,8.54388588359739e-05,0.00555046649279868,"mRpS18C"
"BomS1",45.611208027988,-3.1231661502609,0.795077347229084,-3.92812870489319,8.56093946716535e-05,0.00555046649279868,"BomS1"
"CG17760",41.345292104456,-2.00961083241761,0.512690094971969,-3.91973797061066,8.86452942325763e-05,0.00568534553475916,"CG17760"
"BomBc1",31.6792449477676,-3.12281336496015,0.797003193634492,-3.91819429319913,8.92147837401853e-05,0.00568534553475916,"BomBc1"
"Cap-G",20.2349783121686,-2.55781159307193,0.65622082502565,-3.89779095013017,9.70741586184795e-05,0.00613377056491003,"Cap-G"
"Ttc26",42.4512429017347,1.79221509790872,0.460774377563505,3.88957195794099,0.000100421189830862,0.00629193606200761,"Ttc26"
"CG43091",62.9760387763579,-1.41730115082156,0.364586458910781,-3.8874212581998,0.000101314838080933,0.00629502860609531,"CG43091"
"CG43428",14.2974862540184,3.08722562345672,0.798478505632485,3.86638538380102,0.000110460340335663,0.00680654791357609,"CG43428"
"Faa",1137.74255551507,0.751695570903759,0.195330521976745,3.84832622826479,0.00011892761251176,0.00726823179416136,"Faa"
"CG41128",1392.86305963738,-0.666906061599984,0.174216945197913,-3.82802063738615,0.000129177927416984,0.00783049290098401,"CG41128"
"Map205",398.668917634906,-0.656754282719307,0.172593673076872,-3.80520485491258,0.000141686875593767,0.00851949471312198,"Map205"
"CG7320",36.5670665385153,1.6252876994666,0.428258122647602,3.79511237152644,0.000147576599702101,0.00880264901903095,"CG7320"
"CG9624",39.4341812439421,2.0262424602814,0.534258994066999,3.79262208551101,0.000149064923744084,0.00880405672909816,"CG9624"
"CG7900",107.523494447725,-1.01678894262972,0.268201887106313,-3.79113269336047,0.000149961803191452,0.00880405672909816,"CG7900"
"Tie",822.058966260431,0.633287704593784,0.167532822407884,3.78008139236113,0.000156777099751266,0.00913226606051122,"Tie"
"Ccp84Ad",66.8400869328833,1.87096880378915,0.495638575011794,3.77486519031459,0.000160094217626608,0.0092042124146712,"Ccp84Ad"
"Arc2",90.2997203275929,-1.28250327643654,0.339802276870527,-3.77426333998698,0.000160481171393141,0.0092042124146712,"Arc2"
"CG40298",239.820066109926,-0.805767943248444,0.214940849739268,-3.74878923306517,0.000177690333853703,0.0101134284672764,"CG40298"
"Cyp6a8",384.686533705502,0.693666110049444,0.185325227195614,3.74296646250575,0.000181860509266082,0.010272363311272,"Cyp6a8"
"CG2736",739.419478312328,0.833872409437046,0.223095895348871,3.73773084499407,0.00018568857456985,0.0104097294134797,"CG2736"
"Mis12",36.8494532037634,1.61267384494358,0.432426991446206,3.72935519022567,0.000191970391578252,0.010681576414981,"Mis12"
"SmF",107.22736161356,-0.945356214599521,0.255110011868267,-3.70568057159466,0.000210823866163555,0.0116437240452998,"SmF"
"Hr3",21.2005987518417,4.33983572216789,1.17508448621105,3.69321165677313,0.000221439566418989,0.0121400985824999,"Hr3"
"CG17684",169.686744447572,0.826452145514632,0.223957977332272,3.69021079471742,0.000224068300459731,0.0121945492571369,"CG17684"
"ninaD",763.167259790893,-0.844118316207941,0.229624892827192,-3.67607494908315,0.000236849964541087,0.0127967633015822,"ninaD"
"lncRNA:CR45910",14.3980084416017,-2.6687722832897,0.727577102395727,-3.66802676239001,0.000244429604394525,0.0131112743191768,"lncRNA:CR45910"
"mRpS18A",350.464319629535,-0.74141203342315,0.202264665967272,-3.6655538913708,0.000246803829892724,0.0131440668262868,"mRpS18A"
"CG32026",12.3187297195392,7.07080944052504,1.93031896389537,3.66302645975989,0.000249252780482582,0.013177761557036,"CG32026"
"CG10352",57.1023731756293,1.29661406670181,0.354143570027125,3.66126671903853,0.0002509713172075,0.013177761557036,"CG10352"
"Arr2",6743.09164490156,0.480298974955241,0.131769482401256,3.64499401684424,0.000267398022483992,0.0139420954939905,"Arr2"
"CG12971",19.3476845497226,-2.30088804258562,0.634022488642052,-3.62903222488789,0.000284485730449819,0.0147300389321795,"CG12971"
"CRIF",438.145040376829,-0.638862656556121,0.176224759289231,-3.62527183542682,0.000288657656016456,0.0148429757466117,"CRIF"
"Apoltp",852.528901714824,0.799401279678404,0.221163801107543,3.61452134424877,0.000300903027100949,0.0153666641785252,"Apoltp"
"Tep2",58.6232737744986,-1.35933063197143,0.376494172802102,-3.61049580622842,0.000305612243531303,0.0154756965680483,"Tep2"
"AttC",21.961374137677,-2.11735886810695,0.586662394264575,-3.60916071799901,0.000307189255910829,0.0154756965680483,"AttC"
"CG34426",234.349467629975,-1.13173708416495,0.31384775566439,-3.6060066186204,0.000310945208510799,0.0155597817091042,"CG34426"
"CG17349",13.1956718043454,7.17019583639825,1.99056765131163,3.60208598370102,0.000315673908611194,0.0156102827422236,"CG17349"
"GstD3",151.543782355183,1.29169189884034,0.358633840286037,3.60170110497692,0.000316141723990848,0.0156102827422236,"GstD3"
"Erasp",189.259480703856,-1.04593423398742,0.290545514680047,-3.59989805775944,0.000318341960517644,0.0156155109053918,"Erasp"
"CG40485",51.0837180047231,1.80162119193626,0.501023216734535,3.59588364722595,0.000323292285237194,0.0156945817248463,"CG40485"
"CG34206",292.578831374847,0.935178788088057,0.260119952619604,3.59518283265125,0.000324163839273917,0.0156945817248463,"CG34206"
"CG6790",20.2693771338191,4.89222836147784,1.36435180991294,3.58575282850983,0.000336107192409589,0.0161575377189464,"CG6790"
"CG34054",73.2527188476166,-1.05193439075863,0.293561750158409,-3.58334963663008,0.000339216067059654,0.0161575377189464,"CG34054"
"RpL18A",16950.4037950931,0.454823089385512,0.126954328724261,3.58257252002306,0.000340227122032535,0.0161575377189464,"RpL18A"
"CG43064",14.3402100330699,-2.81590801921872,0.7878972333883,-3.57395342931856,0.000351631497536955,0.0165934458584527,"CG43064"
"CG7465",8.51760043081478,4.01065766315933,1.12348350704387,3.5698411574481,0.00035719775387657,0.0167107885542971,"CG7465"
"CG7309",13.7167603996304,7.22616743616701,2.02480908941177,3.56881420275838,0.000358600612753157,0.0167107885542971,"CG7309"
"asRNA:CR45167",5.90583243698994,-6.03068657558826,1.69673069649871,-3.55429803211134,0.000378989474735312,0.0175512144324626,"asRNA:CR45167"
"CG11997",42.7515567959021,1.7362660949341,0.489312552319748,3.54837840701767,0.00038761091732073,0.0178396728366874,"CG11997"
"CG5122",11.6370583398237,6.98868906128901,1.97249123365801,3.54307737445727,0.000395486647980198,0.018050161984474,"CG5122"
"ATPsynG",5.29950843299363,5.85383354107608,1.65266696515976,3.54205273323788,0.000397026095152057,0.018050161984474,"ATPsynG"
"TTLL3B",11.9684962645885,7.02932119776324,1.99658736473572,3.52066797672722,0.000430461248886014,0.0194516307375401,"TTLL3B"
"ubl",151.797006274687,-0.835652638985109,0.238118850644948,-3.50939304772274,0.000449130650582883,0.0201730007876264,"ubl"
"CG16713",1711.24451116835,-0.859889470189141,0.245786267724535,-3.49852527624881,0.000467838743090486,0.0208874590927106,"CG16713"
"CG13364",756.131342976276,-0.467662834895314,0.134711256253556,-3.47159434112226,0.000517377503686292,0.0229617063540773,"CG13364"
"CG40472",114.198872300455,-0.883909538819188,0.254735427056424,-3.46991209284526,0.000520628730613285,0.0229692770145127,"CG40472"
"COX7B",7267.69069635306,-0.446569163452983,0.128789348291157,-3.46743864596173,0.000525443677462288,0.0230453415244636,"COX7B"
"ImpE3",111.77147187411,-1.09799509317051,0.316851555457472,-3.46532966071515,0.000529581887451615,0.0230910090809312,"ImpE3"
"Rae1",211.398603031343,-0.692711367768472,0.200216707539565,-3.45980800644015,0.000540560663139404,0.0234326761881825,"Rae1"
"ATP8",25.2614440604988,2.43236618259867,0.704845654838194,3.45092030560513,0.000558678512379945,0.0240568325656283,"ATP8"
"CG7523",366.546281396644,-0.628560029640304,0.182212296294064,-3.44960270203664,0.00056141213337169,0.0240568325656283,"CG7523"
"CG30076",69.9416003552685,1.23847096397102,0.359451437950565,3.44544723769151,0.00057011525463506,0.0242901676489086,"CG30076"
"CG10472",1364.64193165882,0.752985203477311,0.218981577628876,3.43857785495294,0.000584778357410389,0.0247733376866583,"CG10472"
"mRpS17",580.561857869498,-0.589925295662781,0.171698276114247,-3.43582538516722,0.000590751591260337,0.0247964827757928,"mRpS17"
"Sem1",633.140157339842,-0.560485886466828,0.163214073448311,-3.43405366109148,0.000594626467412446,0.0247964827757928,"Sem1"
"CG43799",91.0183614836541,-1.23231293626588,0.358882966010945,-3.43374596449443,0.000595301826296528,0.0247964827757928,"CG43799"
"CG34198",141.667660151836,-0.821780386241607,0.240579333353176,-3.41583948541088,0.000635857158372745,0.0263386165157066,"CG34198"
"CG14297",15.2478557772987,6.40093742405065,1.88520279089402,3.39535749414795,0.000685390432827604,0.0282335418075283,"CG14297"
"CG13360",1672.64758038085,0.587739772614791,0.173188917025681,3.39363385780419,0.000689718413147172,0.0282557169693698,"CG13360"
"CG5172",402.709532723032,-0.939671285398241,0.277553462833309,-3.38555057395404,0.000710356185273152,0.0289421623901455,"CG5172"
"CG10031",1053.84377373875,-0.793685222553987,0.234897086765716,-3.37886362697039,0.000727861041754628,0.0294941952571875,"CG10031"
"lncRNA:CR32652",23.9290977019647,4.52469082063791,1.34103301385375,3.37403387828255,0.000740752505666591,0.0297485716626934,"lncRNA:CR32652"
"eIF3l",2580.03703749081,0.403754422566848,0.119683183733356,3.37352675599255,0.000742118338151955,0.0297485716626934,"eIF3l"
"CG31231",15.6003160422672,6.43403798688522,1.90822862074932,3.37173330120093,0.000746967435009784,0.0297828299221013,"CG31231"
"Nepl11",2276.88306473183,0.609793914009591,0.181203086520595,3.3652512532687,0.000764739865874451,0.0303292576593612,"Nepl11"
"bero",396.727903112464,0.779534421770359,0.232026281054312,3.3596815767085,0.000780323543114123,0.0307835573410524,"bero"
"CG13559",74.346201961482,-1.02908461058589,0.306806933015334,-3.35417651899821,0.000796015649853729,0.0312373299226811,"CG13559"
"Zasp66",601.805386158295,0.662241748054748,0.197916874966551,3.34606004751575,0.000819686426753589,0.0318816854713268,"Zasp66"
"CG31106",804.526605646808,-0.745124186925976,0.222716309202991,-3.34562021790172,0.000820987608703694,0.0318816854713268,"CG31106"
"CG5323",372.104581749339,-0.57133887304987,0.171280913854323,-3.33568323634588,0.000850900575371517,0.0328720968392229,"CG5323"
"Cbp80",5.05627722612868,-5.80732070625956,1.74331948109996,-3.33118557396914,0.000864769320722688,NA,"Cbp80"
"CG8245",281.417138808823,0.909605041168009,0.274063918141724,3.31895218945835,0.000903558981917483,0.0347264730369936,"CG8245"
"CG9521",216.047229016119,0.909978557025997,0.274360174676712,3.31672976261316,0.000910776646150777,0.0348243624292318,"CG9521"
"CG5265",10.0962726922507,6.783745235477,2.04857140193201,3.31145169217887,0.000928132631476883,0.0352252037858784,"CG5265"
"mAcon2",12.8179202625413,6.14719659017562,1.8567798498922,3.31067605593227,0.000930708844664437,0.0352252037858784,"mAcon2"
"Ppm1",10.6847347518886,5.8805241895086,1.77836118595619,3.30670970326355,0.000943986639918986,0.0355472948850301,"Ppm1"
"Fatp1",37.9950002985953,-1.38410352394582,0.418800954963143,-3.30491969405282,0.00095003617006011,0.0355953250450663,"Fatp1"
"Pfdn4",563.222921092132,-0.634734824755329,0.193315295988612,-3.28341749425106,0.00102556659702005,0.0381387678868548,"Pfdn4"
"CG9568",601.382916557724,-0.684831264148298,0.208650253537219,-3.28219713390446,0.0010300156834726,0.0381387678868548,"CG9568"
"GstO1",173.244099244954,0.739548636200136,0.225382220680035,3.28130867629546,0.00103326597547541,0.0381387678868548,"GstO1"
"CG31345",100.135638032004,0.977450340430954,0.300491644287745,3.25283700566052,0.00114259017146688,0.0419662675786061,"CG31345"
"Mec2",372.925428248309,-0.607289167506298,0.187123105675792,-3.24539914679741,0.00117286101043453,0.0428669200676463,"Mec2"
"CG4259",53.9081026970646,-1.20367917472883,0.371252216829162,-3.24221410718935,0.00118604880779139,0.0430176812761241,"CG4259"
"Ance-2",641.52888430612,-0.987958210116717,0.304773012866522,-3.24161972487177,0.00118852499233927,0.0430176812761241,"Ance-2"
"CG11878",116.472559154329,-1.10297626436933,0.340807199899701,-3.23636432767247,0.00121062760368514,0.0436059875027845,"CG11878"
"CG1979",29.1944127453774,4.06741511590454,1.25868820629271,3.23147153963137,0.00123154587604089,0.0440113272325336,"CG1979"
"CG8838",11.6187774868265,6.00442145046617,1.85839294818564,3.23097515857899,0.00123368661368019,0.0440113272325336,"CG8838"
